time,numerical_0,numerical_1,exact_0,exact_1
0.86000000,-0.14865070,-1.97777953,-0.14865070,-1.97777953
0.87000000,-0.16839745,-1.97143836,-0.16839745,-1.97143836
0.88000000,-0.18807684,-1.96430864,-0.18807684,-1.96430863
0.89000000,-0.20768100,-1.95639321,-0.20768100,-1.95639321
0.90000000,-0.22720209,-1.94769526,-0.22720209,-1.94769526
0.91000000,-0.24663231,-1.93821826,-0.24663231,-1.93821826
0.92000000,-0.26596387,-1.92796599,-0.26596388,-1.92796599
0.93000000,-0.28518906,-1.91694257,-0.28518906,-1.91694257
0.94000000,-0.30430017,-1.90515239,-0.30430017,-1.90515239
0.95000000,-0.32328956,-1.89260018,-0.32328957,-1.89260018
0.96000000,-0.34214965,-1.87929095,-0.34214965,-1.87929095
0.97000000,-0.36087288,-1.86523003,-0.36087288,-1.86523003
0.98000000,-0.37945176,-1.85042304,-0.37945176,-1.85042304
0.99000000,-0.39787887,-1.83487591,-0.39787887,-1.83487591
1.00000000,-0.41614683,-1.81859486,-0.41614684,-1.81859485
1.01000000,-0.43424834,-1.80158639,-0.43424835,-1.80158638
1.02000000,-0.45217616,-1.78385730,-0.45217616,-1.78385730
1.03000000,-0.46992311,-1.76541470,-0.46992311,-1.76541470
1.04000000,-0.48748210,-1.74626596,-0.48748210,-1.74626596
1.05000000,-0.50484610,-1.72641874,-0.50484610,-1.72641873
1.06000000,-0.52200817,-1.70588097,-0.52200818,-1.70588096
1.07000000,-0.53896145,-1.68466087,-0.53896145,-1.68466086
1.08000000,-0.55569914,-1.66276692,-0.55569915,-1.66276692
1.09000000,-0.57221457,-1.64020790,-0.57221457,-1.64020790
1.10000000,-0.58850111,-1.61699281,-0.58850112,-1.61699281
1.11000000,-0.60455227,-1.59313095,-0.60455227,-1.59313094
1.12000000,-0.62036161,-1.56863185,-0.62036161,-1.56863185
1.13000000,-0.63592281,-1.54350533,-0.63592282,-1.54350532
1.14000000,-0.65122966,-1.51776142,-0.65122966,-1.51776142
1.15000000,-0.66627602,-1.49141043,-0.66627602,-1.49141042
1.16000000,-0.68105588,-1.46446289,-0.68105588,-1.46446289
1.17000000,-0.69556332,-1.43692959,-0.69556333,-1.43692959
1.18000000,-0.70979255,-1.40882154,-0.70979256,-1.40882153
1.19000000,-0.72373788,-1.38014997,-0.72373788,-1.38014997
1.20000000,-0.73739371,-1.35092637,-0.73739372,-1.35092636
1.21000000,-0.75075460,-1.32116241,-0.75075460,-1.32116240
1.22000000,-0.76381520,-1.29087000,-0.76381520,-1.29087000
1.23000000,-0.77657028,-1.26006127,-0.77657028,-1.26006126
1.24000000,-0.78901475,-1.22874852,-0.78901475,-1.22874852
1.25000000,-0.80114361,-1.19694429,-0.80114362,-1.19694429
1.26000000,-0.81295204,-1.16466130,-0.81295204,-1.16466130
1.27000000,-0.82443529,-1.13191247,-0.82443529,-1.13191246
1.28000000,-0.83558878,-1.09871088,-0.83558878,-1.09871087
1.29000000,-0.84640804,-1.06506982,-0.84640804,-1.06506982
1.30000000,-0.85688875,-1.03100275,-0.85688875,-1.03100274
1.31000000,-0.86702672,-0.99652329,-0.86702672,-0.99652328
1.32000000,-0.87681789,-0.96164524,-0.87681789,-0.96164523
1.33000000,-0.88625834,-0.92638254,-0.88625834,-0.92638253
1.34000000,-0.89534430,-0.89074930,-0.89534431,-0.89074929
1.35000000,-0.90407214,-0.85475977,-0.90407214,-0.85475976
1.36000000,-0.91243836,-0.81842835,-0.91243836,-0.81842834
1.37000000,-0.92043962,-0.78176956,-0.92043962,-0.78176956
1.38000000,-0.92807271,-0.74479809,-0.92807271,-0.74479808
1.39000000,-0.93533458,-0.70752870,-0.93533459,-0.70752869
1.40000000,-0.94222234,-0.66997631,-0.94222234,-0.66997630
1.41000000,-0.94873322,-0.63215594,-0.94873322,-0.63215593
1.42000000,-0.95486462,-0.59408271,-0.95486462,-0.59408270
1.43000000,-0.96061408,-0.55577186,-0.96061408,-0.55577185
1.44000000,-0.96597931,-0.51723871,-0.96597931,-0.51723870
1.45000000,-0.97095816,-0.47849867,-0.97095817,-0.47849866
1.46000000,-0.97554865,-0.43956723,-0.97554865,-0.43956722
1.47000000,-0.97974892,-0.40045998,-0.97974892,-0.40045997
1.48000000,-0.98355731,-0.36119254,-0.98355731,-0.36119254
1.49000000,-0.98697229,-0.32178064,-0.98697229,-0.32178063
1.50000000,-0.98999250,-0.28224002,-0.98999250,-0.28224002
1.51000000,-0.99261672,-0.24258652,-0.99261672,-0.24258651
1.52000000,-0.99484390,-0.20283598,-0.99484390,-0.20283597
1.53000000,-0.99667317,-0.16300431,-0.99667317,-0.16300430
1.54000000,-0.99810377,-0.12310744,-0.99810377,-0.12310743
1.55000000,-0.99913515,-0.08316133,-0.99913515,-0.08316132
1.56000000,-0.99976689,-0.04318196,-0.99976689,-0.04318195
1.57000000,-0.99999873,-0.00318531,-0.99999873,-0.00318531
1.58000000,-0.99983059,0.03681261,-0.99983059,0.03681261
1.59000000,-0.99926253,0.07679580,-0.99926253,0.07679581
1.60000000,-0.99829478,0.11674828,-0.99829478,0.11674829
1.61000000,-0.99692772,0.15665406,-0.99692772,0.15665407
