time,numerical_0,exact_0
1.54000000,0.04595926,0.04595926
1.55000000,0.04504920,0.04504920
1.56000000,0.04415717,0.04415717
1.57000000,0.04328280,0.04328280
1.58000000,0.04242574,0.04242574
1.59000000,0.04158566,0.04158566
1.60000000,0.04076220,0.04076220
1.61000000,0.03995506,0.03995506
1.62000000,0.03916390,0.03916390
1.63000000,0.03838840,0.03838840
1.64000000,0.03762826,0.03762826
1.65000000,0.03688317,0.03688317
1.66000000,0.03615283,0.03615283
1.67000000,0.03543696,0.03543696
1.68000000,0.03473526,0.03473526
1.69000000,0.03404745,0.03404745
1.70000000,0.03337327,0.03337327
1.71000000,0.03271244,0.03271243
1.72000000,0.03206469,0.03206469
1.73000000,0.03142976,0.03142976
1.74000000,0.03080741,0.03080741
1.75000000,0.03019738,0.03019738
1.76000000,0.02959944,0.02959944
1.77000000,0.02901333,0.02901333
1.78000000,0.02843882,0.02843882
1.79000000,0.02787570,0.02787570
1.80000000,0.02732372,0.02732372
1.81000000,0.02678268,0.02678268
1.82000000,0.02625234,0.02625234
1.83000000,0.02573251,0.02573251
1.84000000,0.02522297,0.02522297
1.85000000,0.02472353,0.02472353
1.86000000,0.02423397,0.02423397
1.87000000,0.02375410,0.02375410
1.88000000,0.02328374,0.02328374
1.89000000,0.02282269,0.02282269
1.90000000,0.02237077,0.02237077
1.91000000,0.02192780,0.02192780
1.92000000,0.02149360,0.02149360
1.93000000,0.02106800,0.02106800
1.94000000,0.02065083,0.02065083
1.95000000,0.02024191,0.02024191
1.96000000,0.01984109,0.01984109
1.97000000,0.01944821,0.01944821
1.98000000,0.01906311,0.01906311
1.99000000,0.01868564,0.01868564
2.00000000,0.01831564,0.01831564
2.01000000,0.01795297,0.01795296
2.02000000,0.01759747,0.01759747
2.03000000,0.01724902,0.01724902
2.04000000,0.01690747,0.01690747
2.05000000,0.01657268,0.01657268
2.06000000,0.01624451,0.01624451
2.07000000,0.01592285,0.01592285
2.08000000,0.01560756,0.01560756
2.09000000,0.01529851,0.01529851
2.10000000,0.01499558,0.01499558
2.11000000,0.01469864,0.01469864
2.12000000,0.01440759,0.01440759
2.13000000,0.01412230,0.01412230
2.14000000,0.01384266,0.01384266
2.15000000,0.01356856,0.01356856
2.16000000,0.01329988,0.01329988
2.17000000,0.01303653,0.01303653
2.18000000,0.01277839,0.01277839
2.19000000,0.01252536,0.01252536
2.20000000,0.01227734,0.01227734
2.21000000,0.01203423,0.01203423
2.22000000,0.01179594,0.01179594
2.23000000,0.01156236,0.01156236
2.24000000,0.01133341,0.01133341
2.25000000,0.01110900,0.01110900
2.26000000,0.01088902,0.01088902
2.27000000,0.01067341,0.01067341
2.28000000,0.01046206,0.01046206
2.29000000,0.01025490,0.01025490
2.30000000,0.01005184,0.01005184
2.31000000,0.00985280,0.00985280
2.32000000,0.00965770,0.00965770
2.33000000,0.00946646,0.00946646
2.34000000,0.00927901,0.00927901
2.35000000,0.00909528,0.00909528
2.36000000,0.00891518,0.00891518
2.37000000,0.00873865,0.00873865
2.38000000,0.00856561,0.00856561
2.39000000,0.00839600,0.00839600
2.40000000,0.00822975,0.00822975
2.41000000,0.00806679,0.00806679
2.42000000,0.00790705,0.00790705
2.43000000,0.00775048,0.00775048
2.44000000,0.00759701,0.00759701
2.45000000,0.00744658,0.00744658
