t,true_x,true_y,kf_x,kf_y,ekf_x,ekf_y,gps_x,gps_y,gps_valid
1.3,3.68125,5.09684,1.14097,5.00631,2.47178,4.13845,0,0,0
1.32,3.77031,5.1423,1.16687,5.07598,2.55975,4.1616,0,0,0
1.34,3.85994,5.18666,1.19276,5.14565,2.64805,4.18367,0,0,0
1.36,3.95011,5.2299,1.21866,5.21532,2.73659,4.20463,0,0,0
1.38,4.04081,5.272,1.24455,5.28499,2.82513,4.2244,0,0,0
1.4,4.13205,5.31293,1.58823,5.25574,2.81467,4.45354,2.5366,4.9605,1
1.42,4.22381,5.35269,1.6187,5.32398,2.90159,4.47725,0,0,0
1.44,4.31607,5.39124,1.64917,5.39223,2.98878,4.49983,0,0,0
1.46,4.40885,5.42856,1.67964,5.46048,3.0762,4.52124,0,0,0
1.48,4.50212,5.46461,1.71011,5.52872,3.16396,4.54151,0,0,0
1.5,4.59589,5.49936,1.74058,5.59697,3.25186,4.56058,0,0,0
1.52,4.69013,5.53281,1.77105,5.66522,3.34008,4.57844,0,0,0
1.54,4.78484,5.56491,1.80152,5.73346,3.42856,4.59505,0,0,0
1.56,4.88,5.59563,1.83199,5.80171,3.51737,4.61041,0,0,0
1.58,4.97561,5.62494,1.86246,5.86996,3.60629,4.62447,0,0,0
1.6,5.07165,5.6528,2.85417,5.29087,4.55598,4.28344,5.73789,3.34887,1
1.62,5.1681,5.67918,2.89797,5.35014,4.66965,4.27596,0,0,0
1.64,5.26496,5.70407,2.94176,5.40941,4.78308,4.26673,0,0,0
1.66,5.36219,5.72741,2.98556,5.46868,4.89637,4.25573,0,0,0
1.68,5.45979,5.74919,3.02936,5.52795,5.00944,4.24294,0,0,0
1.7,5.55773,5.76937,3.07316,5.58722,5.12234,4.22834,0,0,0
1.72,5.656,5.78791,3.11696,5.64649,5.23517,4.21186,0,0,0
1.74,5.75456,5.8048,3.16076,5.70576,5.34767,4.1935,0,0,0
1.76,5.85339,5.82002,3.20456,5.76503,5.45979,4.17325,0,0,0
1.78,5.95247,5.83356,3.24836,5.8243,5.57161,4.15108,0,0,0
1.8,6.05177,5.8454,4.07908,5.84848,6.07898,4.76524,6.47916,5.74144,1
1.82,6.15125,5.8555,4.13325,5.90729,6.20745,4.7554,0,0,0
1.84,6.25091,5.86381,4.18743,5.96609,6.33573,4.74327,0,0,0
1.86,6.35069,5.87033,4.2416,6.0249,6.46384,4.72883,0,0,0
1.88,6.45058,5.87504,4.29577,6.08371,6.59185,4.71206,0,0,0
1.9,6.55054,5.87793,4.34994,6.14252,6.71956,4.69296,0,0,0
1.92,6.65053,5.87898,4.40412,6.20133,6.8468,4.67162,0,0,0
1.94,6.75053,5.87819,4.45829,6.26013,6.9736,4.64797,0,0,0
1.96,6.85049,5.87555,4.51246,6.31894,7.09983,4.62202,0,0,0
1.98,6.95039,5.87104,4.56663,6.37775,7.22533,4.59377,0,0,0
2,7.05018,5.86465,6.03212,6.22213,8.81585,4.99045,10.4532,5.55041,1
2.02,7.14984,5.85637,6.10387,6.27827,8.98984,4.96279,0,0,0
