x,y,kappa,v_ref
53.4992,41.8882,0.000688371,8
53.496,42.3893,-0.00862035,8
53.4949,42.8898,-0.017467,8
53.4984,43.3887,-0.0206981,8
53.5081,43.8856,-0.0118043,8
53.5212,44.3814,0.00638512,7.98073
53.5328,44.8776,0.0266503,7.92643
53.5378,45.376,0.0461585,7.83709
53.5312,45.8781,0.0625613,7.77055
53.508,46.3856,0.0610037,7.69611
53.4649,46.8996,0.0264174,7.48074
53.4129,47.4165,-0.0320348,6.90396
53.3696,47.9305,-0.100704,5.97754
53.3529,48.436,-0.180145,4.93173
53.3803,48.9271,-0.268869,4.13019
53.4697,49.3981,-0.325196,3.78897
53.636,49.8441,-0.295768,4.01562
53.8706,50.2685,-0.205965,4.75299
54.1544,50.6782,-0.113051,5.72945
54.4677,51.0803,-0.0321307,6.43761
54.791,51.4817,0.0431383,6.47106
55.105,51.8896,0.119493,5.9056
55.39,52.3109,0.181807,5.2536
55.6277,52.7523,0.192066,5.07325
55.8172,53.2137,0.147539,5.51493
55.9726,53.6891,0.084473,6.27937
56.1083,54.1728,0.0219998,6.85477
56.2388,54.6585,-0.0398577,6.9043
56.3787,55.1404,-0.0950755,6.55962
56.5423,55.6125,-0.12115,6.2506
56.7373,56.0715,-0.107498,6.34802
56.9575,56.5201,-0.074945,6.82463
57.1951,56.9616,-0.0391275,7.38873
57.4423,57.399,-0.0204417,7.74227
