time,velocity_kph,target_kph,command
1.3900,59.8376,60.0000,0.0270
1.4000,59.8369,60.0000,0.0271
1.4100,59.8362,60.0000,0.0272
1.4200,59.8355,60.0000,0.0272
1.4300,59.8349,60.0000,0.0273
1.4400,59.8342,60.0000,0.0274
1.4500,59.8335,60.0000,0.0274
1.4600,59.8328,60.0000,0.0275
1.4700,59.8322,60.0000,0.0276
1.4800,59.8315,60.0000,0.0276
1.4900,59.8308,60.0000,0.0277
1.5000,59.8302,60.0000,0.0278
1.5100,59.8295,60.0000,0.0279
1.5200,59.8289,60.0000,0.0279
1.5300,59.8283,60.0000,0.0280
1.5400,59.8276,60.0000,0.0281
1.5500,59.8270,60.0000,0.0281
1.5600,59.8264,60.0000,0.0282
1.5700,59.8258,60.0000,0.0283
1.5800,59.8252,60.0000,0.0283
1.5900,59.8245,60.0000,0.0284
1.6000,59.8239,60.0000,0.0285
1.6100,59.8233,60.0000,0.0285
1.6200,59.8228,60.0000,0.0286
1.6300,59.8222,60.0000,0.0286
1.6400,59.8216,60.0000,0.0287
1.6500,59.8210,60.0000,0.0288
1.6600,59.8204,60.0000,0.0288
1.6700,59.8199,60.0000,0.0289
1.6800,59.8193,60.0000,0.0290
1.6900,59.8187,60.0000,0.0290
1.7000,59.8182,60.0000,0.0291
1.7100,59.8176,60.0000,0.0292
1.7200,59.8171,60.0000,0.0292
1.7300,59.8165,60.0000,0.0293
1.7400,59.8160,60.0000,0.0293
1.7500,59.8155,60.0000,0.0294
1.7600,59.8149,60.0000,0.0295
1.7700,59.8144,60.0000,0.0295
1.7800,59.8139,60.0000,0.0296
1.7900,59.8134,60.0000,0.0297
1.8000,59.8129,60.0000,0.0297
1.8100,59.8124,60.0000,0.0298
1.8200,59.8119,60.0000,0.0298
1.8300,59.8114,60.0000,0.0299
1.8400,59.8109,60.0000,0.0300
1.8500,59.8104,60.0000,0.0300
1.8600,59.8099,60.0000,0.0301
1.8700,59.8094,60.0000,0.0301
1.8800,59.8089,60.0000,0.0302
1.8900,59.8085,60.0000,0.0303
1.9000,59.8080,60.0000,0.0303
1.9100,59.8075,60.0000,0.0304
1.9200,59.8071,60.0000,0.0304
1.9300,59.8066,60.0000,0.0305
1.9400,59.8062,60.0000,0.0305
1.9500,59.8057,60.0000,0.0306
1.9600,59.8053,60.0000,0.0307
1.9700,59.8048,60.0000,0.0307
1.9800,59.8044,60.0000,0.0308
1.9900,59.8040,60.0000,0.0308
2.0000,59.8036,60.0000,0.0309
2.0100,59.8031,60.0000,0.0309
2.0200,59.8027,60.0000,0.0310
2.0300,59.8023,60.0000,0.0311
2.0400,59.8019,60.0000,0.0311
2.0500,59.8015,60.0000,0.0312
2.0600,59.8011,60.0000,0.0312
2.0700,59.8007,60.0000,0.0313
2.0800,59.8003,60.0000,0.0313
2.0900,59.7999,60.0000,0.0314
2.1000,59.7995,60.0000,0.0314
2.1100,59.7991,60.0000,0.0315
2.1200,59.7988,60.0000,0.0315
2.1300,59.7984,60.0000,0.0316
2.1400,59.7980,60.0000,0.0316
2.1500,59.7977,60.0000,0.0317
2.1600,59.7973,60.0000,0.0318
2.1700,59.7969,60.0000,0.0318
2.1800,59.7966,60.0000,0.0319
2.1900,59.7962,60.0000,0.0319
2.2000,59.7959,60.0000,0.0320
2.2100,59.7955,60.0000,0.0320
2.2200,59.7952,60.0000,0.0321
2.2300,59.7949,60.0000,0.0321
2.2400,59.7945,60.0000,0.0322
2.2500,59.7942,60.0000,0.0322
2.2600,59.7939,60.0000,0.0323
2.2700,59.7936,60.0000,0.0323
2.2800,59.7932,60.0000,0.0324
2.2900,59.7929,60.0000,0.0324
2.3000,59.7926,60.0000,0.0325
2.3100,59.7923,60.0000,0.0325
2.3200,59.7920,60.0000,0.0326
2.3300,59.7917,60.0000,0.0326
2.3400,59.7914,60.0000,0.0327
2.3500,59.7911,60.0000,0.0327
2.3600,59.7908,60.0000,0.0328
2.3700,59.7905,60.0000,0.0328
2.3800,59.7903,60.0000,0.0329
2.3900,59.7900,60.0000,0.0329
2.4000,59.7897,60.0000,0.0330
2.4100,59.7894,60.0000,0.0330
2.4200,59.7892,60.0000,0.0331
2.4300,59.7889,60.0000,0.0331
2.4400,59.7886,60.0000,0.0332
2.4500,59.7884,60.0000,0.0332
2.4600,59.7881,60.0000,0.0332
2.4700,59.7879,60.0000,0.0333
2.4800,59.7876,60.0000,0.0333
2.4900,59.7874,60.0000,0.0334
2.5000,59.7871,60.0000,0.0334
2.5100,59.7869,60.0000,0.0335
2.5200,59.7867,60.0000,0.0335
2.5300,59.7864,60.0000,0.0336
2.5400,59.7862,60.0000,0.0336
2.5500,59.7860,60.0000,0.0337
2.5600,59.7858,60.0000,0.0337
2.5700,59.7856,60.0000,0.0337
2.5800,59.7853,60.0000,0.0338
2.5900,59.7851,60.0000,0.0338
2.6000,59.7849,60.0000,0.0339
2.6100,59.7847,60.0000,0.0339
2.6200,59.7845,60.0000,0.0340
2.6300,59.7843,60.0000,0.0340
2.6400,59.7841,60.0000,0.0341
2.6500,59.7839,60.0000,0.0341
2.6600,59.7837,60.0000,0.0341
2.6700,59.7836,60.0000,0.0342
2.6800,59.7834,60.0000,0.0342
2.6900,59.7832,60.0000,0.0343
2.7000,59.7830,60.0000,0.0343
2.7100,59.7828,60.0000,0.0343
2.7200,59.7827,60.0000,0.0344
2.7300,59.7825,60.0000,0.0344
2.7400,59.7823,60.0000,0.0345
2.7500,59.7822,60.0000,0.0345
2.7600,59.7820,60.0000,0.0346
2.7700,59.7819,60.0000,0.0346
2.7800,59.7817,60.0000,0.0346
2.7900,59.7815,60.0000,0.0347
2.8000,59.7814,60.0000,0.0347
2.8100,59.7813,60.0000,0.0348
2.8200,59.7811,60.0000,0.0348
2.8300,59.7810,60.0000,0.0348
2.8400,59.7808,60.0000,0.0349
2.8500,59.7807,60.0000,0.0349
2.8600,59.7806,60.0000,0.0350
2.8700,59.7804,60.0000,0.0350
2.8800,59.7803,60.0000,0.0350
2.8900,59.7802,60.0000,0.0351
2.9000,59.7801,60.0000,0.0351
2.9100,59.7800,60.0000,0.0352
2.9200,59.7799,60.0000,0.0352
2.9300,59.7797,60.0000,0.0352
2.9400,59.7796,60.0000,0.0353
2.9500,59.7795,60.0000,0.0353
2.9600,59.7794,60.0000,0.0353
2.9700,59.7793,60.0000,0.0354
2.9800,59.7792,60.0000,0.0354
2.9900,59.7791,60.0000,0.0355
3.0000,59.7790,60.0000,0.0355
3.0100,59.7790,60.0000,0.0355
3.0200,59.7789,60.0000,0.0356
3.0300,59.7788,60.0000,0.0356
3.0400,59.7787,60.0000,0.0356
3.0500,59.7786,60.0000,0.0357
3.0600,59.7785,60.0000,0.0357
3.0700,59.7785,60.0000,0.0357
3.0800,59.7784,60.0000,0.0358
3.0900,59.7783,60.0000,0.0358
3.1000,59.7783,60.0000,0.0358
3.1100,59.7782,60.0000,0.0359
3.1200,59.7781,60.0000,0.0359
3.1300,59.7781,60.0000,0.0360
3.1400,59.7780,60.0000,0.0360
3.1500,59.7780,60.0000,0.0360
3.1600,59.7779,60.0000,0.0361
3.1700,59.7779,60.0000,0.0361
3.1800,59.7778,60.0000,0.0361
3.1900,59.7778,60.0000,0.0362
3.2000,59.7777,60.0000,0.0362
3.2100,59.7777,60.0000,0.0362
3.2200,59.7777,60.0000,0.0363
3.2300,59.7776,60.0000,0.0363
3.2400,59.7776,60.0000,0.0363
3.2500,59.7776,60.0000,0.0364
3.2600,59.7775,60.0000,0.0364
3.2700,59.7775,60.0000,0.0364
3.2800,59.7775,60.0000,0.0365
3.2900,59.7775,60.0000,0.0365
3.3000,59.7775,60.0000,0.0365
3.3100,59.7774,60.0000,0.0365
3.3200,59.7774,60.0000,0.0366
3.3300,59.7774,60.0000,0.0366
3.3400,59.7774,60.0000,0.0366
3.3500,59.7774,60.0000,0.0367
3.3600,59.7774,60.0000,0.0367
3.3700,59.7774,60.0000,0.0367
3.3800,59.7774,60.0000,0.0368
3.3900,59.7774,60.0000,0.0368
3.4000,59.7774,60.0000,0.0368
3.4100,59.7774,60.0000,0.0369
3.4200,59.7774,60.0000,0.0369
3.4300,59.7774,60.0000,0.0369
3.4400,59.7774,60.0000,0.0369
3.4500,59.7775,60.0000,0.0370
3.4600,59.7775,60.0000,0.0370
3.4700,59.7775,60.0000,0.0370
3.4800,59.7775,60.0000,0.0371
3.4900,59.7775,60.0000,0.0371
3.5000,59.7776,60.0000,0.0371
3.5100,59.7776,60.0000,0.0372
3.5200,59.7776,60.0000,0.0372
3.5300,59.7777,60.0000,0.0372
3.5400,59.7777,60.0000,0.0372
3.5500,59.7777,60.0000,0.0373
3.5600,59.7778,60.0000,0.0373
3.5700,59.7778,60.0000,0.0373
3.5800,59.7779,60.0000,0.0373
3.5900,59.7779,60.0000,0.0374
3.6000,59.7779,60.0000,0.0374
3.6100,59.7780,60.0000,0.0374
3.6200,59.7780,60.0000,0.0375
3.6300,59.7781,60.0000,0.0375
3.6400,59.7781,60.0000,0.0375
3.6500,59.7782,60.0000,0.0375
3.6600,59.7783,60.0000,0.0376
3.6700,59.7783,60.0000,0.0376
3.6800,59.7784,60.0000,0.0376
3.6900,59.7784,60.0000,0.0376
3.7000,59.7785,60.0000,0.0377
3.7100,59.7786,60.0000,0.0377
3.7200,59.7786,60.0000,0.0377
3.7300,59.7787,60.0000,0.0377
3.7400,59.7788,60.0000,0.0378
3.7500,59.7789,60.0000,0.0378
3.7600,59.7789,60.0000,0.0378
3.7700,59.7790,60.0000,0.0378
3.7800,59.7791,60.0000,0.0379
3.7900,59.7792,60.0000,0.0379
3.8000,59.7793,60.0000,0.0379
3.8100,59.7793,60.0000,0.0379
3.8200,59.7794,60.0000,0.0380
3.8300,59.7795,60.0000,0.0380
3.8400,59.7796,60.0000,0.0380
3.8500,59.7797,60.0000,0.0380
3.8600,59.7798,60.0000,0.0381
3.8700,59.7799,60.0000,0.0381
3.8800,59.7800,60.0000,0.0381
3.8900,59.7801,60.0000,0.0381
3.9000,59.7802,60.0000,0.0382
3.9100,59.7803,60.0000,0.0382
3.9200,59.7804,60.0000,0.0382
3.9300,59.7805,60.0000,0.0382
3.9400,59.7806,60.0000,0.0383
3.9500,59.7807,60.0000,0.0383
3.9600,59.7808,60.0000,0.0383
3.9700,59.7809,60.0000,0.0383
3.9800,59.7811,60.0000,0.0383
3.9900,59.7812,60.0000,0.0384
4.0000,59.7813,60.0000,0.0384
4.0100,59.7814,60.0000,0.0384
4.0200,59.7815,60.0000,0.0384
4.0300,59.7816,60.0000,0.0385
4.0400,59.7818,60.0000,0.0385
4.0500,59.7819,60.0000,0.0385
4.0600,59.7820,60.0000,0.0385
4.0700,59.7821,60.0000,0.0385
4.0800,59.7823,60.0000,0.0386
4.0900,59.7824,60.0000,0.0386
4.1000,59.7825,60.0000,0.0386
4.1100,59.7827,60.0000,0.0386
4.1200,59.7828,60.0000,0.0386
4.1300,59.7829,60.0000,0.0387
4.1400,59.7831,60.0000,0.0387
4.1500,59.7832,60.0000,0.0387
4.1600,59.7834,60.0000,0.0387
4.1700,59.7835,60.0000,0.0387
4.1800,59.7837,60.0000,0.0388
4.1900,59.7838,60.0000,0.0388
4.2000,59.7839,60.0000,0.0388
4.2100,59.7841,60.0000,0.0388
