t,x,y,v,steer_deg,accel
1.9,11.0156,8.98998,5.31411,-30.023,3
1.92,11.1218,8.97856,5.37411,-30.023,3
1.94,11.229,8.96455,5.43411,-30.023,3
1.96,11.337,8.94787,5.49411,-24.3825,3
1.98,11.4458,8.92872,5.55411,-24.3825,3
2,11.5554,8.90732,5.61411,-24.3825,3
2.02,11.6658,8.8836,5.67411,-24.3825,3
2.04,11.7768,8.8575,5.73411,-20.4908,3
2.06,11.8886,8.82917,5.79411,-20.4908,3
2.08,12.001,8.79874,5.85411,-20.4908,3
2.1,12.1141,8.76615,5.91411,-21.1658,3
2.12,12.2278,8.73133,5.97411,-21.1658,3
2.14,12.342,8.6942,6.03411,-21.1658,3
2.16,12.4566,8.65471,6.09411,-21.1658,3
2.18,12.5717,8.61281,6.15411,-23.8114,3
2.2,12.6871,8.56831,6.21411,-23.8114,3
2.22,12.8027,8.52103,6.27411,-23.8114,3
2.24,12.9184,8.4709,6.33411,-23.8114,3
2.26,13.0341,8.41789,6.39411,-26.7479,3
2.28,13.1497,8.36178,6.45411,-26.7479,3
2.3,13.2649,8.30235,6.51411,-26.7479,2.88344
2.32,13.3798,8.23958,6.57178,-26.7479,2.76827
2.34,13.494,8.17344,6.62715,-29.7741,2.72599
2.36,13.6073,8.10372,6.68167,-29.7741,2.61713
2.38,13.7196,8.03025,6.73401,-29.7741,2.5126
2.4,13.8305,7.95301,6.78426,-29.7741,2.41224
2.42,13.94,7.87203,6.83251,-30.023,2.33161
2.44,14.0478,7.78732,6.87914,-30.023,2.23849
2.46,14.1538,7.69888,6.92391,-30.023,2.14908
2.48,14.2577,7.60676,6.96689,-30.023,2.06324
2.5,14.3595,7.511,7.00815,-30.023,1.98083
2.52,14.4589,7.41166,7.04777,-30.023,1.90171
2.54,14.5559,7.3088,7.0858,-30.023,1.82575
2.56,14.6501,7.20249,7.12232,-30.023,1.75283
2.58,14.7415,7.09281,7.15738,-30.023,1.68281
2.6,14.83,6.97984,7.19103,-30.023,1.6156
2.62,14.9153,6.86367,7.22334,-30.023,1.55107
2.64,14.9974,6.7444,7.25437,-30.023,1.48911
2.66,15.076,6.62212,7.28415,-30.023,1.42964
2.68,15.1511,6.49695,7.31274,-30.023,1.37253
2.7,15.2225,6.369,7.34019,-30.023,1.31771
2.72,15.2901,6.2384,7.36655,27.6837,1.26508
2.74,15.3577,6.10724,7.39185,27.6837,1.21455
2.76,15.4294,5.97764,7.41614,27.6837,1.16604
2.78,15.505,5.84975,7.43946,29.0486,1.11946
2.8,15.5845,5.72379,7.46185,29.0486,1.07475
2.82,15.6682,5.59996,7.48334,29.0486,1.03182
2.84,15.7559,5.47842,7.50398,29.0486,0.990608
2.86,15.8475,5.35933,7.52379,-30.023,0.951041
2.88,15.9393,5.23987,7.54281,-30.023,0.913054
2.9,16.0275,5.1172,7.56107,-29.6163,0.876585
2.92,16.1118,4.99147,7.57861,30.023,0.841572
2.94,16.1963,4.86548,7.59544,30.023,0.807958
2.96,16.2852,4.74205,7.6116,30.023,0.775686
2.98,16.3781,4.62131,7.62711,30.023,0.744703
3,16.4752,4.50344,7.642,30.023,0.714958
3.02,16.5762,4.3886,7.6563,30.023,0.686401
3.04,16.6812,4.27691,7.67003,-28.2497,0.658985
3.06,16.7864,4.16515,7.68321,-28.2497,0.632664
3.08,16.8884,4.05004,7.69586,-28.2497,0.607394
3.1,16.987,3.93166,7.70801,30.023,0.583133
3.12,17.0858,3.81321,7.71967,30.023,0.559841
3.14,17.1887,3.69793,7.73087,30.023,0.53748
3.16,17.2954,3.58595,7.74162,30.023,0.516012
3.18,17.406,3.47743,7.75194,30.023,0.495401
3.2,17.5203,3.37249,7.76185,30.023,0.475614
3.22,17.6381,3.27129,7.77136,-27.8529,0.456617
3.24,17.7562,3.17012,7.78049,-27.8529,0.438378
3.26,17.8713,3.06529,7.78926,-27.8529,0.420869
3.28,17.9833,2.95688,7.79768,30.023,0.404058
3.3,18.0955,2.84851,7.80576,30.023,0.387919
3.32,18.2115,2.74385,7.81352,30.023,0.372425
3.34,18.3309,2.64303,7.82097,30.023,0.357549
3.36,18.4539,2.54617,7.82812,30.023,0.343268
3.38,18.58,2.4534,7.83498,27.6758,0.329557
3.4,18.7093,2.36464,7.84157,-30.023,0.316394
3.42,18.8384,2.2756,7.8479,-30.023,0.303756
3.44,18.9646,2.1822,7.85398,-30.023,0.291624
3.46,19.0877,2.08454,7.85981,-30.023,0.279976
3.48,19.2076,1.98272,7.86541,25.1657,0.268793
3.5,19.3272,1.88045,7.87079,25.1657,0.258057
3.52,19.4496,1.78142,7.87595,25.1657,0.247749
3.54,19.5748,1.68573,7.8809,22.8077,0.237854
3.56,19.7025,1.59327,7.88566,22.8077,0.228353
3.58,19.8325,1.50392,7.89023,22.8077,0.219232
3.6,19.9647,1.41774,7.89461,21.8992,0.16621
3.62,20.0991,1.33472,7.89793,-30.023,0.15956
3.64,20.233,1.25098,7.90113,-30.023,0.153187
3.66,20.3641,1.16273,7.90419,-30.023,-0.138003
3.68,20.4922,1.07008,7.90143,-30.023,-0.132565
3.7,20.617,0.973199,7.89878,24.7937,-0.12727
3.72,20.7414,0.87592,7.89623,30.023,-0.919503
3.74,20.8686,0.782593,7.87784,30.023,-0.882985
3.76,20.9985,0.693809,7.86018,30.023,-0.847717
3.78,21.1311,0.609633,7.84323,30.023,-0.813857
3.8,21.2661,0.530123,7.82695,30.023,-2.26804
3.82,21.4032,0.45547,7.78159,30.023,-2.17784
3.84,21.5418,0.385823,7.73803,30.023,-2.09085
3.86,21.682,0.321165,7.69622,30.023,-2.00734
3.88,21.8234,0.261477,7.65607,30.023,-3.83147
3.9,21.9656,0.206869,7.57944,30.023,-3.67893
3.92,22.1081,0.157396,7.50586,30.023,-3.53199
3.94,22.2508,0.112955,7.43522,30.023,-3.39091
3.96,22.3934,0.0734466,7.3674,30.023,-3.25547
3.98,22.536,0.0387701,7.30229,30.023,-3.12544
4,22.6783,0.00882833,7.23979,30.023,-4.80945
4.02,22.8199,-0.0164164,7.1436,30.023,-4.61782
4.04,22.9603,-0.0370456,7.05124,30.023,-4.43337
4.06,23.0995,-0.0532177,6.96257,30.023,-4.2563
4.08,23.2374,-0.0650851,6.87745,30.023,-4.08629
4.1,23.3739,-0.072794,6.79572,30.023,-3.92307
4.12,23.509,-0.076485,6.71726,30.023,-3.76638
4.14,23.6426,-0.0762927,6.64193,30.023,-4.80246
4.16,23.7744,-0.0723571,6.54588,30.023,-4.61095
4.18,23.9041,-0.0648383,6.45366,30.023,-4.42677
4.2,24.0319,-0.0538915,6.36513,30.023,-4.24996
4.22,24.1575,-0.0396642,6.28013,30.023,-4.08021
4.24,24.2811,-0.0222961,6.19852,30.023,-3.91723
4.26,24.4026,-0.00191989,6.12018,30.023,-3.76077
4.28,24.522,0.0213385,6.04496,30.023,-3.61056
4.3,24.6393,0.0473597,5.97275,30.023,-3.46634
4.32,24.7545,0.0760303,5.90343,30.023,-3.32789
4.34,24.8677,0.107243,5.83687,30.023,-3.62621
4.36,24.9787,0.140869,5.76434,30.023,-3.48148
4.38,25.0875,0.17678,5.69472,30.023,-3.34243
4.4,25.1942,0.214873,5.62787,30.023,-3.20892
4.42,25.2986,0.255054,5.56369,30.023,-3.08075
4.44,25.4009,0.297231,5.50207,30.023,-2.9577
4.46,25.5011,0.34132,5.44292,30.023,-2.83956
4.48,25.5992,0.387239,5.38613,30.023,-2.72614
4.5,25.6952,0.434912,5.33161,30.023,-2.61725
4.52,25.7891,0.484266,5.27926,30.023,-2.51272
4.54,25.881,0.535233,5.22901,30.023,-2.41235
4.56,25.9709,0.587747,5.18076,30.023,-2.08584
4.58,26.0588,0.64177,5.13904,30.023,-2.00247
4.6,26.1448,0.697272,5.09899,30.023,-1.92248
4.62,26.229,0.754198,5.06054,30.023,-1.84569
4.64,26.3112,0.812499,5.02363,30.023,-1.77197
4.66,26.3917,0.872124,4.98819,30.023,-1.7012
4.68,26.4702,0.933027,4.95417,30.023,-1.63325
4.7,26.547,0.995163,4.9215,30.023,-1.56801
4.72,26.6219,1.05849,4.89014,30.023,-1.50538
4.74,26.6951,1.12296,4.86003,30.023,-1.44525
4.76,26.7664,1.18855,4.83113,30.023,-1.38753
4.78,26.836,1.2552,4.80338,30.023,-0.638618
4.8,26.9039,1.32298,4.7906,30.023,-0.612929
4.82,26.9702,1.39197,4.77835,30.023,-0.588447
4.84,27.0349,1.46211,4.76658,30.023,-0.564943
4.86,27.0981,1.53339,4.75528,30.023,-0.542378
4.88,27.1596,1.60577,4.74443,30.023,-0.520714
4.9,27.2195,1.67922,4.73402,30.023,-0.499916
4.92,27.2778,1.75371,4.72402,30.023,-0.479948
4.94,27.3344,1.82921,4.71442,30.023,-0.460778
4.96,27.3894,1.90568,4.7052,30.023,-0.442373
4.98,27.4428,1.98309,4.69636,30.023,-0.424704
5,27.4944,2.06142,4.68786,30.023,0.642424
5.02,27.5446,2.14081,4.70071,30.023,0.617039
5.04,27.5932,2.2214,4.71305,-8.34276,0.592394
5.06,27.6414,2.30256,4.7249,-8.34276,0.568732
5.08,27.6901,2.38368,4.73627,-8.34276,0.546016
5.1,27.7393,2.46474,4.74719,-8.34276,0.524207
5.12,27.7891,2.54572,4.75768,-8.34276,0.503269
5.14,27.8393,2.62662,4.76774,-8.34276,0.483167
5.16,27.8901,2.70742,4.77741,-8.34276,0.463868
5.18,27.9415,2.78812,4.78668,-8.34276,0.44534
5.2,27.9933,2.86871,4.79559,-12.8053,1.75184
5.22,28.0459,2.94931,4.83063,-12.8053,1.68222
5.24,28.0996,3.03006,4.86427,-12.8053,1.61503
5.26,28.1543,3.11091,4.89657,-12.8053,1.55052
5.28,28.21,3.19183,4.92758,-12.8053,1.48859
5.3,28.2667,3.27278,4.95736,-12.8053,1.42913
5.32,28.3245,3.35374,4.98594,-12.8053,1.37205
5.34,28.3832,3.43465,5.01338,-12.8053,1.31724
5.36,28.443,3.5155,5.03972,-16.7839,2.73138
5.38,28.504,3.59641,5.09435,-16.7839,2.62266
5.4,28.5666,3.67746,5.1468,-16.7839,2.51791
5.42,28.6308,3.75859,5.19716,-16.7839,2.41734
5.44,28.6965,3.83973,5.24551,-16.7839,2.32078
5.46,28.7638,3.92083,5.29193,-16.7839,2.22809
5.48,28.8326,4.00183,5.33649,-16.7839,2.13909
5.5,28.9029,4.08265,5.37927,-20.2893,3
5.52,28.975,4.1633,5.43927,-20.2893,3
5.54,29.0492,4.24374,5.49927,-20.2893,3
5.56,29.1253,4.32393,5.55927,-20.2893,3
5.58,29.2035,4.4038,5.61927,-20.2893,2.9368
5.6,29.2838,4.4833,5.678,-20.2893,2.8195
5.62,29.3661,4.56234,5.73439,-23.2803,3
5.64,29.4506,4.64076,5.79439,-23.2803,3
5.66,29.5375,4.7184,5.85439,-23.2803,3
5.68,29.6266,4.79519,5.91439,-23.2803,3
5.7,29.7182,4.87106,5.97439,-23.2803,3
5.72,29.8121,4.94592,6.03439,-25.9103,3
5.74,29.9084,5.01956,6.09439,-25.9103,3
5.76,30.0074,5.09179,6.15439,-25.9103,3
5.78,30.1088,5.16249,6.21439,-25.9103,3
5.8,30.2129,5.23156,6.27439,-28.5268,3
5.82,30.3196,5.29877,6.33439,-28.5268,3
5.84,30.429,5.36385,6.39439,-28.5268,3
5.86,30.541,5.42668,6.45439,-28.5268,3
5.88,30.6558,5.48713,6.51439,-28.5268,2.92419
5.9,30.7731,5.54508,6.57288,-30.023,2.83026
5.92,30.893,5.60028,6.62948,-30.023,2.71722
5.94,31.0155,5.6525,6.68383,-30.023,2.60868
5.96,31.1404,5.70158,6.736,-30.023,2.50449
5.98,31.2676,5.74738,6.78609,-30.023,2.29321
6,31.397,5.78977,6.83196,-30.023,2.20158
6.02,31.5285,5.82862,6.87599,-30.023,2.11365
6.04,31.6618,5.8638,6.91826,23.4163,1.76153
6.06,31.7961,5.89868,6.95349,23.4163,1.6911
6.08,31.9302,5.93675,6.98731,23.4163,1.62356
6.1,32.0641,5.978,7.01978,21.0395,1.19414
6.12,32.1975,6.02227,7.04367,21.0395,1.14634
6.14,32.3306,6.06936,7.06659,21.0395,1.10056
6.16,32.463,6.11928,7.0886,19.2056,0.809763
6.18,32.5948,6.17188,7.1048,19.2056,0.777355
6.2,32.726,6.22701,7.12035,19.4646,0.812355
6.22,32.8563,6.28469,7.13659,-30.023,0.779925
6.24,32.9874,6.34171,7.15219,-30.023,0.748774
6.26,33.1203,6.39481,7.16717,-30.023,0.917146
6.28,33.2552,6.44392,7.18551,-30.023,0.880565
6.3,33.3918,6.48897,7.20312,-30.023,0.734948
6.32,33.5301,6.52988,7.21782,-30.023,0.705564
6.34,33.6699,6.56658,7.23193,-30.023,0.677382
6.36,33.811,6.59899,7.24548,29.3366,0.650326
6.38,33.9523,6.6314,7.25849,30.023,-0.282429
6.4,34.0927,6.66815,7.25284,30.023,-0.271386
6.42,34.2318,6.7092,7.24741,30.023,-0.260547
6.44,34.3694,6.75452,7.2422,30.023,-0.25014
6.46,34.5054,6.80404,7.2372,30.023,-0.240149
6.48,34.6398,6.85772,7.23239,30.023,-1.88817
6.5,34.7721,6.91535,7.19463,30.023,-1.81319
6.52,34.9018,6.97672,7.15837,30.023,-1.74076
6.54,35.029,7.04171,7.12355,30.023,-1.67123
6.56,35.1535,7.11022,7.09013,30.023,-1.60448
6.58,35.2753,7.18214,7.05804,30.023,-1.54039
6.6,35.3944,7.25737,7.02723,30.023,-3.49955
6.62,35.5103,7.33558,6.95724,30.023,-3.3603
6.64,35.6228,7.41641,6.89003,30.023,-3.22608
6.66,35.7317,7.49972,6.82551,30.023,-3.09723
6.68,35.8372,7.58538,6.76357,30.023,-2.97352
6.7,35.9392,7.67327,6.7041,30.023,-2.85475
6.72,36.0379,7.76326,6.647,30.023,-2.74072
6.74,36.1331,7.85524,6.59219,30.023,-4.4342
6.76,36.2246,7.94885,6.5035,30.023,-4.25756
6.78,36.3124,8.04369,6.41835,30.023,-4.0875
6.8,36.3964,8.13965,6.3366,30.023,-3.92424
6.82,36.4768,8.23662,6.25812,30.023,-3.76749
6.84,36.5536,8.3345,6.18277,30.023,-3.61701
6.86,36.6269,8.43319,6.11043,30.023,-3.47254
6.88,36.6967,8.53261,6.04098,30.023,-3.33384
6.9,36.7633,8.63266,5.9743,30.023,-3.20068
6.92,36.8265,8.73328,5.91028,30.023,-4.33789
6.94,36.8864,8.83417,5.82353,30.023,-4.16495
6.96,36.943,8.93503,5.74023,30.023,-3.9986
6.98,36.9962,9.03582,5.66026,30.023,-3.83888
7,37.0464,9.13646,5.58348,30.023,-3.68555
7.02,37.0934,9.2369,5.50977,30.023,-3.53834
7.04,37.1375,9.33711,5.439,30.023,-3.39701
7.06,37.1788,9.43704,5.37106,30.023,-3.26133
7.08,37.2172,9.53664,5.30583,30.023,-3.13106
7.1,37.253,9.63589,5.24321,30.023,-3.006
7.12,37.2861,9.73475,5.18309,30.023,-2.88594
7.14,37.3166,9.8332,5.12537,30.023,-2.77066
7.16,37.3447,9.93121,5.06996,30.023,-2.66
7.18,37.3704,10.0287,5.01676,30.023,-3.1347
7.2,37.3937,10.1257,4.95407,30.023,-3.00965
7.22,37.4147,10.2219,4.89387,30.023,-2.88944
7.24,37.4334,10.3174,4.83608,30.023,-2.77403
7.26,37.45,10.4121,4.7806,30.023,-2.66323
7.28,37.4644,10.5061,4.72734,30.023,-2.55685
7.3,37.4768,10.5993,4.6762,30.023,-2.45472
7.32,37.4873,10.6917,4.62711,30.023,-2.35668
7.34,37.4958,10.7834,4.57997,30.023,-2.26255
7.36,37.5024,10.8743,4.53472,30.023,-2.17218
7.38,37.5072,10.9645,4.49128,30.023,-2.08541
7.4,37.5103,11.0538,4.44957,30.023,-2.00212
7.42,37.5116,11.1424,4.40953,30.023,-1.92215
7.44,37.5113,11.2302,4.37109,30.023,-1.84537
7.46,37.5094,11.3172,4.33418,30.023,-1.77167
7.48,37.5058,11.4035,4.29875,30.023,-1.7009
7.5,37.5008,11.489,4.26473,30.023,-1.63296
7.52,37.4942,11.5737,4.23207,30.023,-1.39632
7.54,37.4861,11.6576,4.20414,30.023,-1.3405
7.56,37.4766,11.7409,4.17733,30.023,-1.28696
7.58,37.4657,11.8235,4.15159,30.023,-1.23556
7.6,37.4533,11.9054,4.12688,30.023,-1.1862
7.62,37.4397,11.9865,4.10316,30.023,-1.13882
7.64,37.4246,12.0669,4.08038,30.023,-1.09334
7.66,37.4083,12.1467,4.05851,30.023,-1.04967
7.68,37.3907,12.2257,4.03752,30.023,-1.00774
7.7,37.3718,12.304,4.01737,30.023,-0.96749
7.72,37.3517,12.3816,3.99802,30.023,-0.928846
7.74,37.3303,12.4584,3.97944,30.023,-0.891746
7.76,37.3077,12.5346,3.9616,30.023,-0.856127
7.78,37.284,12.61,3.94448,30.023,-0.821932
7.8,37.2591,12.6847,3.92804,30.023,-0.789102
7.82,37.233,12.7586,3.91226,30.023,-0.757583
7.84,37.2059,12.8318,3.89711,30.023,-0.727324
7.86,37.1776,12.9043,3.88256,30.023,-0.698273
7.88,37.1482,12.976,3.8686,30.023,-0.670382
7.9,37.1177,13.047,3.85519,30.023,0.376783
7.92,37.0861,13.1174,3.86273,30.023,0.362001
7.94,37.0533,13.1874,3.86997,30.023,0.347542
7.96,37.0193,13.257,3.87692,30.023,0.33366
7.98,36.984,13.3261,3.88359,30.023,0.320333
8,36.9475,13.3948,3.89,30.023,0.307538
8.02,36.9099,13.463,3.89615,30.023,0.295255
8.04,36.871,13.5306,3.90205,30.023,0.283462
8.06,36.831,13.5976,3.90772,30.023,0.272139
8.08,36.7898,13.6641,3.91316,30.023,0.26127
8.1,36.7474,13.73,3.91839,30.023,0.250834
8.12,36.7039,13.7952,3.92341,30.023,0.240815
8.14,36.6592,13.8597,3.92822,30.023,0.231196
8.16,36.6134,13.9236,3.93285,30.023,0.221962
8.18,36.5665,13.9868,3.93729,30.023,0.213096
8.2,36.5184,14.0493,3.94155,6.9262,0.204585
8.22,36.4697,14.1113,3.94564,6.9262,0.196413
8.24,36.4207,14.1732,3.94957,-4.42727,1.98533
8.26,36.3714,14.2354,3.98927,-4.42727,1.9065
8.28,36.3217,14.2983,4.0274,-4.42727,1.83035
8.3,36.2718,14.362,4.06401,-4.42727,1.75724
8.32,36.2215,14.4263,4.09916,-4.42727,1.68705
8.34,36.171,14.4913,4.1329,-4.42727,1.61967
8.36,36.1202,14.5569,4.16529,-4.42727,1.55498
8.38,36.0692,14.6232,4.19639,-4.42727,1.49287
8.4,36.018,14.69,4.22625,-4.42727,1.43324
8.42,35.9666,14.7575,4.25491,-4.42727,1.37599
8.44,35.915,14.8255,4.28243,-4.42727,1.32103
8.46,35.8632,14.8941,4.30885,-4.42727,1.26827
8.48,35.8113,14.9632,4.33422,-15.8506,3
8.5,35.7594,15.0333,4.39422,-15.8506,3
8.52,35.7073,15.1049,4.45422,-15.8506,3
8.54,35.6552,15.1779,4.51422,-15.8506,3
8.56,35.6032,15.2524,4.57422,-15.8506,2.88061
8.58,35.5512,15.3284,4.63183,-15.8506,2.76555
8.6,35.4993,15.4058,4.68714,-15.8506,2.65509
8.62,35.4475,15.4846,4.74024,-15.8506,2.54904
8.64,35.396,15.5648,4.79122,-15.8506,2.44722
8.66,35.3448,15.6463,4.84017,-26.4209,3
8.68,35.2942,15.7295,4.90017,-26.4209,3
8.7,35.2444,15.8147,4.96017,-26.4209,3
8.72,35.1957,15.9018,5.02017,-26.4209,3
