dt,euler_error,rk2_error,rk4_error
1.00000000e-01,1.00753274e+01,1.75425746e-01,3.69419344e-04
5.00000000e-02,3.07745345e+00,4.26890106e-02,2.17214396e-05
2.50000000e-02,1.19534560e+00,1.04636861e-02,1.31597528e-06
1.00000000e-02,4.12200736e-01,1.65034598e-03,3.30643537e-08
5.00000000e-03,1.96318883e-01,4.10432116e-04,2.05409225e-09
1.00000000e-03,3.77791265e-02,1.63459017e-05,3.01929330e-12
