t,x,y,v,theta,cte,steer_deg,accel
7.06,37.1788,9.43704,5.37106,1.19101,6.05945,30.023,-3.26133
7.08,37.2172,9.53664,5.30583,1.21386,6.03721,30.023,-3.13106
7.1,37.253,9.63589,5.24321,1.23644,6.01467,30.023,-3.006
7.12,37.2861,9.73475,5.18309,1.25875,5.99184,30.023,-2.88594
7.14,37.3166,9.8332,5.12537,1.28081,5.96873,30.023,-2.77066
7.16,37.3447,9.93121,5.06996,1.30264,5.94536,30.023,-2.66
7.18,37.3704,10.0287,5.01676,1.32422,5.91452,30.023,-3.1347
7.2,37.3937,10.1257,4.95407,1.34557,5.88309,30.023,-3.00965
7.22,37.4147,10.2219,4.89387,1.36664,5.85156,30.023,-2.88944
7.24,37.4334,10.3174,4.83608,1.38747,5.81994,30.023,-2.77403
7.26,37.45,10.4121,4.7806,1.40805,5.78823,30.023,-2.66323
7.28,37.4644,10.5061,4.72734,1.4284,5.75645,30.023,-2.55685
7.3,37.4768,10.5993,4.6762,1.44853,5.72459,30.023,-2.45472
7.32,37.4873,10.6917,4.62711,1.46844,5.69266,30.023,-2.35668
7.34,37.4958,10.7834,4.57997,1.48815,5.66067,30.023,-2.26255
7.36,37.5024,10.8743,4.53472,1.50765,5.62862,30.023,-2.17218
7.38,37.5072,10.9645,4.49128,1.52697,5.59651,30.023,-2.08541
7.4,37.5103,11.0538,4.44957,1.54611,5.56436,30.023,-2.00212
7.42,37.5116,11.1424,4.40953,1.56507,5.53216,30.023,-1.92215
7.44,37.5113,11.2302,4.37109,1.58386,5.49991,30.023,-1.84537
7.46,37.5094,11.3172,4.33418,1.6025,5.46762,30.023,-1.77167
7.48,37.5058,11.4035,4.29875,1.62097,5.43529,30.023,-1.7009
7.5,37.5008,11.489,4.26473,1.6393,5.40292,30.023,-1.63296
7.52,37.4942,11.5737,4.23207,1.65749,5.36414,30.023,-1.39632
7.54,37.4861,11.6576,4.20414,1.67554,5.32509,30.023,-1.3405
7.56,37.4766,11.7409,4.17733,1.69348,5.28599,30.023,-1.28696
7.58,37.4657,11.8235,4.15159,1.71131,5.24685,30.023,-1.23556
7.6,37.4533,11.9054,4.12688,1.72903,5.20767,30.023,-1.1862
7.62,37.4397,11.9865,4.10316,1.74664,5.16845,30.023,-1.13882
7.64,37.4246,12.0669,4.08038,1.76416,5.12919,30.023,-1.09334
7.66,37.4083,12.1467,4.05851,1.78158,5.08989,30.023,-1.04967
7.68,37.3907,12.2257,4.03752,1.79891,5.05056,30.023,-1.00774
7.7,37.3718,12.304,4.01737,1.81615,5.0112,30.023,-0.96749
7.72,37.3517,12.3816,3.99802,1.8333,4.9718,30.023,-0.928846
7.74,37.3303,12.4584,3.97944,1.85037,4.93237,30.023,-0.891746
7.76,37.3077,12.5346,3.9616,1.86737,4.89291,30.023,-0.856127
7.78,37.284,12.61,3.94448,1.88429,4.85343,30.023,-0.821932
7.8,37.2591,12.6847,3.92804,1.90114,4.81392,30.023,-0.789102
7.82,37.233,12.7586,3.91226,1.91792,4.7744,30.023,-0.757583
7.84,37.2059,12.8318,3.89711,1.93464,4.73485,30.023,-0.727324
7.86,37.1776,12.9043,3.88256,1.95129,4.69528,30.023,-0.698273
7.88,37.1482,12.976,3.8686,1.96788,4.6557,30.023,-0.670382
7.9,37.1177,13.047,3.85519,1.98441,4.61352,30.023,0.376783
7.92,37.0861,13.1174,3.86273,2.00093,4.56722,30.023,0.362001
7.94,37.0533,13.1874,3.86997,2.01748,4.52066,30.023,0.347542
7.96,37.0193,13.257,3.87692,2.03406,4.47383,30.023,0.33366
7.98,36.984,13.3261,3.88359,2.05067,4.42674,30.023,0.320333
8,36.9475,13.3948,3.89,2.06731,4.3794,30.023,0.307538
8.02,36.9099,13.463,3.89615,2.08397,4.33184,30.023,0.295255
8.04,36.871,13.5306,3.90205,2.10066,4.28404,30.023,0.283462
8.06,36.831,13.5976,3.90772,2.11738,4.23604,30.023,0.272139
8.08,36.7898,13.6641,3.91316,2.13412,4.18783,30.023,0.26127
8.1,36.7474,13.73,3.91839,2.15088,4.13942,30.023,0.250834
8.12,36.7039,13.7952,3.92341,2.16766,4.09084,30.023,0.240815
8.14,36.6592,13.8597,3.92822,2.18447,4.04209,30.023,0.231196
8.16,36.6134,13.9236,3.93285,2.20129,3.99318,30.023,0.221962
8.18,36.5665,13.9868,3.93729,2.21814,3.94413,30.023,0.213096
8.2,36.5184,14.0493,3.94155,2.235,3.89495,6.9262,0.204585
8.22,36.4697,14.1113,3.94564,2.23855,3.84606,6.9262,0.196413
8.24,36.4207,14.1732,3.94957,2.2421,3.79531,-4.42727,1.98533
8.26,36.3714,14.2354,3.98927,2.23983,3.74004,-4.42727,1.9065
8.28,36.3217,14.2983,4.0274,2.23753,3.68526,-4.42727,1.83035
8.3,36.2718,14.362,4.06401,2.23521,3.63106,-4.42727,1.75724
8.32,36.2215,14.4263,4.09916,2.23287,3.57755,-4.42727,1.68705
8.34,36.171,14.4913,4.1329,2.23051,3.52483,-4.42727,1.61967
8.36,36.1202,14.5569,4.16529,2.22813,3.47301,-4.42727,1.55498
8.38,36.0692,14.6232,4.19639,2.22573,3.42219,-4.42727,1.49287
8.4,36.018,14.69,4.22625,2.22331,3.37249,-4.42727,1.43324
8.42,35.9666,14.7575,4.25491,2.22088,3.32402,-4.42727,1.37599
8.44,35.915,14.8255,4.28243,2.21843,3.27689,-4.42727,1.32103
8.46,35.8632,14.8941,4.30885,2.21597,3.23123,-4.42727,1.26827
8.48,35.8113,14.9632,4.33422,2.21349,3.1865,-15.8506,3
8.5,35.7594,15.0333,4.39422,2.20431,3.13254,-15.8506,3
8.52,35.7073,15.1049,4.45422,2.19501,3.08006,-15.8506,3
8.54,35.6552,15.1779,4.51422,2.18558,3.02927,-15.8506,3
8.56,35.6032,15.2524,4.57422,2.17602,2.9804,-15.8506,2.88061
8.58,35.5512,15.3284,4.63183,2.16634,2.93371,-15.8506,2.76555
8.6,35.4993,15.4058,4.68714,2.15654,2.88947,-15.8506,2.65509
8.62,35.4475,15.4846,4.74024,2.14662,2.84796,-15.8506,2.54904
8.64,35.396,15.5648,4.79122,2.1366,2.80946,-15.8506,2.44722
8.66,35.3448,15.6463,4.84017,2.12647,2.76285,-26.4209,3
8.68,35.2942,15.7295,4.90017,2.10855,2.7147,-26.4209,3
8.7,35.2444,15.8147,4.96017,2.0904,2.6703,-26.4209,3
8.72,35.1957,15.9018,5.02017,2.07204,2.63004,-26.4209,3
8.74,35.148,15.9908,5.08017,2.05345,2.59431,-26.4209,3
8.76,35.1014,16.0818,5.14017,2.03464,2.56354,-26.4209,3
8.78,35.056,16.1747,5.20017,2.01561,2.52576,-30.023,3
8.8,35.0121,16.2696,5.26017,1.99323,2.48541,-30.023,3
8.82,34.9698,16.3666,5.32017,1.97058,2.45072,-30.023,3
8.84,34.9293,16.4656,5.38017,1.94768,2.4222,-30.023,3
8.86,34.8906,16.5667,5.44017,1.92452,2.40032,-30.023,3
8.88,34.8539,16.6697,5.50017,1.9011,2.36304,-30.023,3
8.9,34.8193,16.7748,5.56017,1.87743,2.33188,-30.023,3
8.92,34.7868,16.8818,5.62017,1.8535,2.30796,-30.023,3
8.94,34.7566,16.9906,5.68017,1.82932,2.28929,-30.023,3
8.96,34.7288,17.1014,5.74017,1.80487,2.25623,-30.023,3
8.98,34.7034,17.214,5.80017,1.78017,2.23105,-30.023,3
9,34.6806,17.3283,5.86017,1.75522,2.21431,-30.023,3
9.02,34.6604,17.4444,5.92017,1.73,2.19871,-30.023,3
9.04,34.6431,17.5621,5.98017,1.70453,2.17318,-30.023,3
9.06,34.6286,17.6814,6.04017,1.6788,2.15683,-30.023,3
9.08,34.6171,17.8023,6.10017,1.65282,2.15017,-30.023,3
9.1,34.6086,17.9246,6.16017,1.62658,2.14032,-30.023,3
9.12,34.6034,18.0483,6.22017,1.60008,2.12542,-30.023,3
9.14,34.6014,18.1733,6.28017,1.57333,2.12096,-30.023,3
9.16,34.6028,18.2995,6.34017,1.54632,2.1273,-30.023,3
9.18,34.6076,18.4268,6.40017,1.51905,2.12693,-27.7283,3
9.2,34.6159,18.5551,6.46017,1.49401,2.12568,-27.7283,3
9.22,34.6275,18.6844,6.52017,1.46874,2.13556,-27.7283,2.91614
9.24,34.6425,18.8145,6.57849,1.44324,2.15669,-27.7283,2.79966
9.26,34.661,18.9453,6.63448,1.41752,2.16975,-24.3551,2.72708
9.28,34.6828,19.0768,6.68903,1.39518,2.18352,-24.3551,2.61816
9.3,34.7077,19.2087,6.74139,1.37266,2.20843,-24.3551,2.51359
9.32,34.7359,19.3411,6.79166,1.34997,2.24434,-24.3551,2.41319
9.34,34.7672,19.4737,6.83992,1.32712,2.27546,-24.0927,2.3168
9.36,34.8019,19.6066,6.88626,1.30438,2.30419,-24.0927,2.22426
9.38,34.8398,19.7394,6.93075,1.2815,2.34389,-24.0927,2.13542
9.4,34.881,19.8722,6.97345,1.25847,2.3942,-24.0927,2.05013
9.42,34.9255,20.0048,7.01446,1.23531,2.44565,-27.5235,1.85015
9.44,34.9736,20.137,7.05146,1.20816,2.48989,-27.5235,1.77622
9.46,35.0255,20.2685,7.08698,1.18087,2.54497,-27.5235,1.70527
9.48,35.0813,20.3992,7.12109,1.15345,2.61031,-27.5235,1.63716
9.5,35.141,20.5288,7.15383,1.1259,2.67843,-30.023,1.14595
9.52,35.2046,20.6572,7.17675,1.09523,2.73956,-30.023,1.10007
9.54,35.2724,20.784,7.19875,1.06446,2.81073,-30.023,1.05613
9.56,35.3443,20.909,7.21988,1.0336,2.89121,-30.023,1.01395
9.58,35.4202,21.0321,7.24015,1.00265,2.97179,-30.023,0.0202295
9.6,35.5,21.1529,7.24056,0.971659,3.04931,22.2944,0.0191718
9.62,35.5803,21.2734,7.24094,0.993651,3.13215,22.2944,0.0184058
9.64,35.658,21.3956,7.24131,1.01564,3.21684,22.2944,0.0176707
9.66,35.733,21.5195,7.24166,1.03764,3.28665,17.0434,-1.33052
9.68,35.8054,21.6446,7.21505,1.05405,3.35654,17.0434,-1.27773
9.7,35.8756,21.7704,7.1895,1.07041,3.42799,12.2862,-2.608
9.72,35.9436,21.8965,7.13734,1.08196,3.48427,12.2862,-2.50419
9.74,36.0096,22.0225,7.08726,1.09344,3.54353,12.2862,-2.40417
9.76,36.0738,22.1483,7.03917,1.10483,3.59008,9.53675,-3.25459
9.78,36.1362,22.2738,6.97408,1.11355,3.63581,9.38851,-3.49493
9.8,36.197,22.3986,6.90418,1.12205,3.66822,9.38851,-3.35543
9.82,36.2561,22.5226,6.83707,1.13046,3.69882,10.6293,-3.10064
9.84,36.3135,22.646,6.77506,1.13992,3.72017,10.6293,-2.97676
9.86,36.3693,22.7689,6.71552,1.1493,3.73797,12.2255,-2.46126
9.88,36.4234,22.8913,6.6663,1.16004,3.7482,12.2255,-2.36284
9.9,36.4758,23.0134,6.61904,1.1707,3.75624,13.9824,-1.77866
9.92,36.5265,23.1353,6.58347,1.18288,3.75504,13.9824,-1.70748
9.94,36.5754,23.2571,6.54932,1.19499,3.75685,-30.023,-1.63928
9.96,36.625,23.378,6.51653,1.16702,3.74662,-30.023,-1.17261
9.98,36.6778,23.4969,6.49308,1.13918,3.74439,-30.023,-1.12567
10,36.7337,23.6139,6.47057,1.11143,3.74277,-30.023,-0.945743
10.02,36.7926,23.7289,6.45165,1.08378,3.73868,-30.023,-0.907933
10.04,36.8544,23.8419,6.43349,1.0562,3.7426,-30.023,-0.871668
10.06,36.9192,23.9529,6.41606,1.0287,3.74296,-30.023,-1.07208
10.08,36.9868,24.0617,6.39462,1.00128,3.74451,-30.023,-1.02932
10.1,37.0571,24.1683,6.37403,0.973947,3.7539,-30.023,-0.988206
10.12,37.1301,24.2726,6.35427,0.946705,3.75465,-30.023,-1.53221
10.14,37.2055,24.3744,6.32363,0.91957,3.76136,-30.023,-1.47116
10.16,37.2834,24.4737,6.2942,0.892564,3.76866,-30.023,-2.21957
10.18,37.3634,24.5704,6.24981,0.865716,3.77266,10.7209,-2.13113
10.2,37.4437,24.6656,6.20719,0.874451,3.77823,7.00546,-2.93367
10.22,37.5227,24.7606,6.14851,0.880074,3.77329,7.00546,-2.81673
10.24,37.6004,24.8552,6.09218,0.885645,3.76381,2.52564,-3.56268
10.26,37.677,24.949,6.02093,0.887624,3.68926,8.04832,-1.48208
10.28,37.7525,25.0424,5.99129,0.893915,3.59632,8.04832,-1.42238
10.3,37.8271,25.1359,5.96284,0.900175,3.49973,17.7592,0.68682
10.32,37.9006,25.2299,5.97657,0.914338,3.39897,17.7592,0.659924
10.34,37.973,25.3252,5.98977,0.928533,3.29828,17.7592,0.633566
10.36,38.0441,25.4218,6.00244,0.942758,3.19773,17.7592,0.60826
10.38,38.114,25.5195,6.01461,0.957013,3.09739,17.7592,0.583965
10.4,38.1827,25.6184,6.02629,0.971296,2.99733,17.7592,0.56064
10.42,38.25,25.7185,6.0375,0.985607,2.89072,26.9707,2.26853
10.44,38.3158,25.8203,6.08287,1.00845,2.78012,26.9707,2.17837
10.46,38.3797,25.9243,6.12644,1.03146,2.66846,26.9707,2.09136
10.48,38.4416,26.0305,6.16827,1.05463,2.55578,26.9707,2.00783
10.5,38.5015,26.1389,6.20842,1.07796,2.44216,-30.023,1.92763
10.52,38.5618,26.2478,6.24698,1.0513,2.32895,-30.023,1.85064
10.54,38.6255,26.3557,6.28399,1.02448,2.21782,-30.023,1.77672
10.56,38.6924,26.4625,6.31952,0.997507,2.10939,-30.023,1.70575
10.58,38.7626,26.5681,6.35364,0.970383,2.00436,-30.023,1.63762
10.6,38.836,26.6722,6.38639,0.943115,1.89175,-25.3981,2.62513
10.62,38.9125,26.7751,6.43889,0.920562,1.77596,30.023,2.52055
10.64,38.9893,26.8791,6.4893,0.948232,1.66093,30.023,2.41988
10.66,39.0638,26.986,6.5377,0.976114,1.54552,30.023,2.32322
10.68,39.1358,27.0957,6.58417,1.0042,1.43,30.023,2.23043
10.7,39.2051,27.2082,6.62877,1.03248,1.31469,-25.3981,2.14134
10.72,39.2746,27.3216,6.6716,1.00909,1.20195,-25.3981,2.05581
10.74,39.3472,27.434,6.71272,0.985554,1.09505,-25.3981,1.9737
10.76,39.4229,27.5453,6.75219,0.961876,0.991135,-21.4677,2.31284
10.78,39.5015,27.6557,6.79845,0.94214,0.862222,-21.4677,2.22057
10.8,39.5829,27.7652,6.84286,0.922271,0.73592,-21.4677,2.13188
10.82,39.6669,27.8738,6.8855,0.902275,0.614571,-21.4677,2.04673
10.84,39.7536,27.9813,6.92643,0.882158,0.502619,30.023,1.96497
10.86,39.8402,28.0899,6.96573,0.911892,0.406057,30.023,1.88649
10.88,39.9241,28.2016,7.00346,0.94179,0.336024,30.023,1.81114
10.9,40.005,28.3164,7.03968,0.971847,0.28419,30.023,1.84221
10.92,40.0828,28.4342,7.07653,1.00206,0.168481,-21.4506,1.76866
10.94,40.1605,28.5529,7.1119,0.981412,0.126744,-21.4506,1.69802
10.96,40.2409,28.6706,7.14586,0.960664,0.208583,-21.4506,1.63019
10.98,40.3242,28.7871,7.17847,0.939819,0.333568,-21.4506,1.56508
11,40.4103,28.9024,7.20977,0.91888,0.468886,-21.4506,1.50257
11.02,40.4992,29.0163,7.23982,0.897853,0.608054,-21.4506,1.44255
11.04,40.5908,29.1288,7.26867,0.87674,0.692697,-23.0437,1.40751
11.06,40.6852,29.2397,7.29682,0.853792,0.787458,-23.0437,1.3513
11.08,40.7826,29.3488,7.32385,0.830758,0.894288,-23.0437,1.29732
11.1,40.8828,29.456,7.34979,0.80764,1.00951,30.023,1.2455
11.12,40.9829,29.564,7.3747,0.839155,1.13281,30.023,1.19576
11.14,41.0798,29.6755,7.39862,0.870775,1.22803,30.023,1.17725
11.16,41.1735,29.7903,7.42216,0.902496,1.33319,30.023,1.13024
11.18,41.2637,29.9085,7.44477,0.934316,1.44916,-24.8428,1.08509
11.2,41.3539,30.0272,7.46647,0.908747,1.57128,-24.8428,1.04175
11.22,41.4473,30.144,7.4873,0.883106,1.69609,-24.8428,1.00014
11.24,41.544,30.2586,7.50731,0.857394,1.79811,-26.7448,0.977869
11.26,41.6439,30.3709,7.52686,0.829335,1.90173,-26.7448,0.938815
11.28,41.7473,30.4806,7.54564,0.801203,2.00868,-26.7448,0.901317
11.3,41.8539,30.5876,7.56367,0.773003,2.11843,-26.7448,0.865316
11.32,41.9638,30.6918,7.58097,0.744738,2.21946,30.023,0.836843
11.34,42.0737,30.7965,7.59771,0.777225,2.31286,30.023,0.803419
11.36,42.1804,30.9049,7.61378,0.809782,2.41602,30.023,0.771328
11.38,42.2837,31.017,7.6292,0.842407,2.52773,-28.7461,0.74052
11.4,42.3871,31.1294,7.64401,0.811378,2.64271,-30.023,0.710942
11.42,42.4943,31.2386,7.65823,0.778626,2.73963,-30.023,0.682545
11.44,42.6052,31.3445,7.67188,0.745815,2.83796,-30.023,0.655283
11.46,42.7197,31.4468,7.68499,0.712946,2.93745,-30.023,0.629109
11.48,42.8377,31.5455,7.69757,0.680023,3.03791,-30.023,0.603981
11.5,42.959,31.6404,7.70965,0.647047,3.12392,26.9649,0.560392
11.52,43.0808,31.7352,7.72086,0.676122,3.21059,26.9649,0.538003
11.54,43.1999,31.8336,7.73162,0.705239,3.30587,26.9649,0.516514
11.56,43.3162,31.9356,7.74195,0.734395,3.40899,26.9649,0.495883
11.58,43.4297,32.0411,7.75187,0.76359,3.51159,-30.023,0.414491
11.6,43.5435,32.1465,7.76016,0.730389,3.60929,-30.023,0.39792
11.62,43.6609,32.2482,7.76812,0.697154,3.70711,-30.023,0.382026
11.64,43.7817,32.3459,7.77576,0.663885,3.80495,-30.023,0.366767
11.66,43.9058,32.4398,7.78309,0.630584,3.9027,-30.023,0.352117
11.68,44.0331,32.5295,7.79013,0.597252,3.98684,-30.023,0.234348
11.7,44.1634,32.615,7.79482,0.563896,4.06842,-30.023,0.22496
11.72,44.2966,32.6961,7.79932,0.530519,4.14996,-30.023,0.215975
11.74,44.4324,32.7728,7.80364,0.497124,4.23137,22.7922,0.207348
11.76,44.5687,32.8489,7.80779,0.52142,4.31104,21.0515,0.111638
11.78,44.7033,32.9282,7.81002,0.543684,4.38773,21.0515,0.107156
11.8,44.8361,33.0105,7.81216,0.565954,4.47151,-30.023,0.102876
11.82,44.9693,33.092,7.81422,0.532508,4.55841,-30.023,0.0987668
11.84,45.1053,33.1691,7.8162,0.499054,4.6447,-30.023,0.0948218
11.86,45.2438,33.2416,7.81809,0.465592,4.72289,-30.023,-0.0142763
11.88,45.3847,33.3095,7.81781,0.432126,4.79325,-30.023,-0.0137336
11.9,45.5277,33.3726,7.81753,0.398662,4.86302,-30.023,-0.0131851
11.92,45.6728,33.4309,7.81727,0.365198,4.93213,-30.023,-0.0126584
11.94,45.8197,33.4842,7.81702,0.331736,5.00053,-30.023,-0.0121528
11.96,45.9684,33.5327,7.81677,0.298275,5.05893,24.8263,-0.374966
11.98,46.1171,33.5806,7.80927,0.325049,5.11545,24.8263,-0.360085
12,46.2644,33.6324,7.80207,0.351797,5.17981,24.8263,-0.345702
12.02,46.41,33.6881,7.79516,0.378522,5.25167,-30.023,-0.331894
12.04,46.5558,33.7433,7.78852,0.345168,5.29727,-27.7109,-0.399895
12.06,46.7031,33.7937,7.78052,0.31488,5.20935,-27.7109,-0.383944
12.08,46.8517,33.8396,7.77284,0.284623,5.12078,-27.7109,-0.368608
12.1,47.0014,33.881,7.76547,0.254395,5.02748,-30.023,0.266315
12.12,47.1524,33.9176,7.7708,0.221142,4.92427,-30.023,0.255841
12.14,47.3046,33.9492,7.77591,0.187868,4.81985,-30.023,0.245622
12.16,47.4579,33.9757,7.78083,0.154571,4.71428,-30.023,0.235811
12.18,47.6121,33.9971,7.78554,0.121254,4.60761,-30.023,0.226392
12.2,47.767,34.0133,7.79007,0.0879175,4.49974,-30.023,0.335435
12.22,47.9225,34.0244,7.79678,0.0545567,4.37818,-30.023,0.322068
12.24,48.0783,34.0303,7.80322,0.0211678,4.25542,-30.023,0.309204
12.26,48.2345,34.031,7.8094,-0.0122482,4.13152,-30.023,0.296853
12.28,48.3906,34.0265,7.81534,-0.0456901,4.00653,-30.023,0.284996
12.3,48.5467,34.0168,7.82104,-0.0791569,3.88048,-30.023,0.273613
12.32,48.7024,34.0018,7.82651,-0.112648,3.75345,-30.023,0.262684
12.34,48.8577,33.9816,7.83177,-0.146161,3.62537,-30.023,-0.0845896
12.36,49.0122,33.9562,7.83008,-0.179683,3.48463,-30.023,-0.0812991
12.38,49.1658,33.9256,7.82845,-0.213197,3.34297,-30.023,-0.0780519
12.4,49.3182,33.8899,7.82689,-0.246704,3.20042,-30.023,-0.0749344
12.42,49.4693,33.8492,7.82539,-0.280205,3.05704,-30.023,-0.0719413
12.44,49.619,33.8034,7.82395,-0.313699,2.91286,-30.023,-0.0690678
12.46,49.767,33.7526,7.82257,-0.347188,2.76794,-30.023,-0.0663091
12.48,49.9132,33.6969,7.82124,-0.380671,2.62231,27.0249,-0.0636606
12.5,50.0592,33.641,7.81997,-0.351122,2.4779,27.0249,-0.0611178
12.52,50.2068,33.5894,7.81875,-0.321578,2.33707,27.0249,-0.0586766
12.54,50.3559,33.5421,7.81757,-0.292038,2.19035,30.023,-0.957803
12.56,50.5062,33.4997,7.79842,-0.258615,2.04255,30.023,-0.919782
12.58,50.6574,33.4624,7.78002,-0.225272,1.8984,30.023,-0.883044
12.6,50.8094,33.4302,7.76236,-0.192007,1.75884,30.023,-0.847774
12.62,50.9621,33.4031,7.74541,-0.158815,1.62511,30.023,-0.813912
12.64,51.1153,33.3812,7.72913,-0.125695,1.49879,30.023,-0.781402
12.66,51.2688,33.3643,7.7135,-0.0926428,1.38192,30.023,-0.750191
12.68,51.4225,33.3526,7.6985,-0.0596562,1.24908,30.023,-2.27779
12.7,51.5758,33.346,7.65294,-0.0267993,1.11566,30.023,-2.18722
12.72,51.7285,33.3444,7.6092,0.00586651,0.991828,30.023,-2.09986
12.74,51.8802,33.3477,7.5672,0.0383488,0.881253,30.023,-2.01599
12.76,52.0309,33.356,7.52688,0.0706549,0.78908,30.023,-1.93546
12.78,52.1805,33.369,7.48817,0.102792,0.670799,30.023,-3.79254
12.8,52.3284,33.3866,7.41232,0.134684,0.543898,30.023,-3.64156
12.82,52.4743,33.4087,7.33949,0.166257,0.435863,30.023,-3.49611
12.84,52.6179,33.4352,7.26957,0.197525,0.362093,30.023,-3.35647
12.86,52.7594,33.4658,7.20244,0.2285,0.324591,30.023,-5
12.88,52.8982,33.5003,7.10244,0.259117,0.181642,30.023,-4.82411
12.9,53.034,33.5385,7.00595,0.289313,0.0424821,30.023,-4.63142
12.92,53.1668,33.5802,6.91333,0.319105,0.100836,30.023,-4.44643
12.94,53.2966,33.6252,6.8244,0.348508,0.237756,30.023,-4.26883
12.96,53.4234,33.6734,6.73902,0.377538,0.309437,30.023,-5
12.98,53.547,33.7244,6.63902,0.406171,0.338483,30.023,-5
13,53.6673,33.7782,6.53902,0.434376,0.407149,30.023,-4.8949
13.02,53.7843,33.8345,6.44112,0.462158,0.497846,30.023,-4.69938
13.04,53.898,33.893,6.34713,0.489529,0.599477,30.023,-4.51168
13.06,54.0084,33.9538,6.2569,0.516505,0.69745,30.023,-4.71258
13.08,54.1156,34.0166,6.16265,0.543087,0.749134,30.023,-4.52444
13.1,54.2195,34.0812,6.07216,0.569274,0.81287,30.023,-4.34373
13.12,54.3202,34.1474,5.98529,0.59508,0.885412,30.023,-4.17023
13.14,54.4177,34.2153,5.90188,0.620523,0.964214,30.023,-4.00366
13.16,54.5123,34.2847,5.82181,0.645615,1.04737,30.023,-3.84375
13.18,54.6038,34.3554,5.74493,0.670371,1.13351,30.023,-3.69022
13.2,54.6924,34.4274,5.67113,0.694805,1.19946,30.023,-2.98238
13.22,54.7781,34.5007,5.61148,0.718954,1.25682,30.023,-2.86311
13.24,54.8613,34.5752,5.55422,0.742852,1.31848,30.023,-2.74875
13.26,54.9418,34.651,5.49924,0.76651,1.38364,30.023,-2.63896
13.28,55.0198,34.7278,5.44646,0.789937,1.45163,30.023,-2.53355
13.3,55.0952,34.8057,5.39579,0.813143,1.52188,30.023,-2.43236
13.32,55.1681,34.8846,5.34715,0.836136,1.59393,30.023,-2.3352
13.34,55.2386,34.9644,5.30044,0.858925,1.66411,30.023,-0.816453
13.36,55.3068,35.0453,5.28411,0.88158,1.71457,30.023,-0.783469
13.38,55.373,35.1275,5.26844,0.904166,1.76773,30.023,-0.752175
13.4,55.4371,35.2109,5.2534,0.926686,1.82331,30.023,-0.722132
13.42,55.4992,35.2955,5.23896,0.949143,1.88103,30.023,-0.693288
13.44,55.5591,35.3813,5.22509,0.971539,1.94065,30.023,-0.665597
13.46,55.617,35.4681,5.21178,0.993877,2.00196,30.023,-0.639011
13.48,55.6728,35.556,5.199,1.01616,2.06474,30.023,-0.613488
13.5,55.7266,35.6449,5.18673,1.03839,2.11669,30.023,1.4442
13.52,55.7784,35.7351,5.21561,1.06065,2.16177,30.023,1.38705
13.54,55.8284,35.8269,5.24336,1.08304,2.20906,30.023,1.33165
13.56,55.8766,35.9203,5.26999,1.10554,2.25843,30.023,1.27846
13.58,55.923,36.0153,5.29556,1.12815,2.30976,30.023,1.22739
13.6,55.9673,36.1117,5.32011,1.15087,2.36291,30.023,1.17837
13.62,56.0097,36.2096,5.34367,1.1737,2.41779,30.023,1.1313
13.64,56.05,36.3088,5.3663,1.19662,2.4593,30.023,3
13.66,56.0883,36.4097,5.4263,1.21972,2.49771,30.023,2.92482
13.68,56.1246,36.5126,5.4848,1.24307,2.5383,30.023,2.808
13.7,56.1588,36.6174,5.54096,1.26667,2.581,30.023,2.69584
13.72,56.1909,36.724,5.59487,1.29051,2.62573,30.023,2.58816
13.74,56.2207,36.8324,5.64664,1.31457,2.67212,29.68,3
13.76,56.2482,36.9426,5.70664,1.33853,2.70026,29.68,3
13.78,56.2732,37.0545,5.76664,1.36275,2.73054,29.68,3
13.8,56.2958,37.1683,5.82664,1.38722,2.76296,29.68,3
13.82,56.3157,37.2837,5.88664,1.41195,2.79749,29.68,3
13.84,56.333,37.4007,5.94664,1.43692,2.82545,23.4759,3
13.86,56.3478,37.5193,6.00664,1.45615,2.84338,23.4759,3
13.88,56.3605,37.6394,6.06664,1.47557,2.86415,23.4759,3
13.9,56.3709,37.7609,6.12664,1.49519,2.88777,23.4759,3
13.92,56.3789,37.8838,6.18664,1.51499,2.89824,21.53,3
13.94,56.3847,38.008,6.24664,1.53316,2.90622,21.53,3
13.96,56.3883,38.1334,6.30664,1.5515,2.91735,21.53,3
13.98,56.3896,38.2602,6.36664,1.57002,2.92316,22.9948,3
14,56.3884,38.3881,6.42664,1.59013,2.91869,22.9948,3
14.02,56.3846,38.5172,6.48664,1.61042,2.91726,22.9948,3
14.04,56.3781,38.6473,6.54664,1.63091,2.91862,25.5064,2.89258
14.06,56.3687,38.7785,6.60449,1.65415,2.90083,25.5064,2.77705
14.08,56.3561,38.9105,6.66003,1.67759,2.88577,25.5064,2.66612
14.1,56.3403,39.0433,6.71335,1.70122,2.87355,25.5064,2.55963
14.12,56.3211,39.1767,6.76454,1.72504,2.85137,28.1665,2.46403
14.14,56.2985,39.3106,6.81382,1.75196,2.82155,28.1665,2.36561
14.16,56.272,39.4448,6.86114,1.77908,2.79422,28.1665,2.27112
14.18,56.2417,39.5791,6.90656,1.80639,2.76955,28.1665,2.18041
14.2,56.2075,39.7134,6.95017,1.83387,2.72435,30.023,2.09663
14.22,56.1693,39.8474,6.9921,1.86371,2.68059,30.023,2.01289
14.24,56.1268,39.9811,7.03236,1.89372,2.63921,30.023,1.93249
14.26,56.08,40.1141,7.07101,1.92391,2.59605,30.023,1.8553
