t,x,y,v,theta,cte,steer_deg,accel
1.4,8.63642,8.59247,4.83332,0.42664,3.01666,-30.023,-0.979102
1.42,8.72464,8.63149,4.81374,0.405992,3.04023,-30.023,-0.939994
1.44,8.8133,8.66852,4.79494,0.385427,3.06464,-30.023,-0.902448
1.46,8.90236,8.7036,4.77689,0.36494,3.08986,-30.023,-0.866403
1.48,8.99179,8.73672,4.75956,0.344529,3.11584,-30.023,-0.831797
1.5,9.08155,8.7679,4.74293,0.324191,3.14255,-30.023,-0.798573
1.52,9.17161,8.79716,4.72695,0.303922,3.16995,-30.023,-0.766676
1.54,9.26195,8.82449,4.71162,0.283721,3.19801,-30.023,-0.736053
1.56,9.35254,8.84992,4.6969,0.263583,3.22525,-30.023,1.05735
1.58,9.44368,8.87353,4.71805,0.243432,3.24064,-30.023,1.01558
1.6,9.53568,8.89539,4.73836,0.223193,3.25689,-30.023,0.975012
1.62,9.62849,8.91547,4.75786,0.202868,3.27399,-30.023,0.936068
1.64,9.72207,8.93373,4.77658,0.182461,3.29193,-30.023,0.898679
1.66,9.81636,8.95013,4.79455,0.161976,3.31069,-30.023,0.862784
1.68,9.91132,8.96464,4.81181,0.141415,3.33025,-30.023,0.828322
1.7,10.0069,8.97725,4.82838,0.120782,3.35061,-30.023,0.795237
1.72,10.103,8.98791,4.84428,0.10008,3.37115,-30.023,2.814
1.74,10.2001,8.99663,4.90056,0.0792225,3.37865,-30.023,2.70214
1.76,10.2984,9.00339,4.9546,0.0581293,3.38701,-30.023,2.59421
1.78,10.3979,9.00812,5.00649,0.0368094,3.39625,-30.023,2.49059
1.8,10.4985,9.01074,5.0563,0.0152719,3.40638,-30.023,2.39111
1.82,10.6001,9.01119,5.10412,-0.00647462,3.4174,-30.023,2.2956
1.84,10.7026,9.0094,5.15003,-0.0284218,3.42932,-30.023,2.20391
1.86,10.806,9.00531,5.19411,-0.0505615,3.43425,-30.023,3
1.88,10.9103,8.99887,5.25411,-0.072924,3.43234,-30.023,3
1.9,11.0156,8.98998,5.31411,-0.0955433,3.43128,-30.023,3
1.92,11.1218,8.97856,5.37411,-0.11842,3.43107,-30.023,3
1.94,11.229,8.96455,5.43411,-0.141553,3.43177,-30.023,3
1.96,11.337,8.94787,5.49411,-0.164942,3.42717,-24.3825,3
1.98,11.4458,8.92872,5.55411,-0.183489,3.41334,-24.3825,3
2,11.5554,8.90732,5.61411,-0.202237,3.40087,-24.3825,3
2.02,11.6658,8.8836,5.67411,-0.221187,3.38985,-24.3825,3
2.04,11.7768,8.8575,5.73411,-0.240338,3.37262,-20.4908,3
2.06,11.8886,8.82917,5.79411,-0.256294,3.34749,-20.4908,3
2.08,12.001,8.79874,5.85411,-0.272416,3.32412,-20.4908,3
2.1,12.1141,8.76615,5.91411,-0.288705,3.30175,-21.1658,3
2.12,12.2278,8.73133,5.97411,-0.305753,3.26445,-21.1658,3
2.14,12.342,8.6942,6.03411,-0.322973,3.22881,-21.1658,3
2.16,12.4566,8.65471,6.09411,-0.340365,3.19495,-21.1658,3
2.18,12.5717,8.61281,6.15411,-0.357929,3.15387,-23.8114,3
2.2,12.6871,8.56831,6.21411,-0.378144,3.10518,-23.8114,3
2.22,12.8027,8.52103,6.27411,-0.398555,3.05794,-23.8114,3
2.24,12.9184,8.4709,6.33411,-0.419162,3.0123,-23.8114,3
2.26,13.0341,8.41789,6.39411,-0.439965,2.95474,-26.7479,3
2.28,13.1497,8.36178,6.45411,-0.463948,2.89279,-26.7479,3
2.3,13.2649,8.30235,6.51411,-0.488155,2.83198,-26.7479,2.88344
2.32,13.3798,8.23958,6.57178,-0.512582,2.77254,-26.7479,2.76827
2.34,13.494,8.17344,6.62715,-0.53722,2.70197,-29.7741,2.72599
2.36,13.6073,8.10372,6.68167,-0.56542,2.62448,-29.7741,2.61713
2.38,13.7196,8.03025,6.73401,-0.593847,2.54781,-29.7741,2.5126
2.4,13.8305,7.95301,6.78426,-0.62249,2.47224,-29.7741,2.41224
2.42,13.94,7.87203,6.83251,-0.651343,2.39524,-30.023,2.33161
