t,p6_x,p6_y,p6_v,p6_cte,p6_he,p6_ve,p6_steer_deg,p6_accel,p6_v_ref,p4_x,p4_y,p4_v,p4_cte,p4_he,p4_steer_deg
0.7,4.09195,4.05376,8,-5.33733e-05,5.51012e-05,0,-1.2449,-0,8,4.09094,4.05478,8,0.00138119,0.000411033,-1.19997
0.72,4.20677,4.16519,8,0.000104841,-0.000773628,0,-0.801218,-0,8,4.20572,4.16625,8,0.00159635,-0.000417662,-0.801185
0.74,4.32166,4.27654,8,0.000156019,-0.00128286,0,-0.492352,-0,8,4.32057,4.27765,8,0.00170239,-0.000953034,-0.517618
0.76,4.43665,4.38779,8,-0.0002306,0.000175773,0,-1.31701,-0,8,4.43553,4.38893,8,0.00137217,0.00055154,-1.27262
0.78,4.55178,4.49891,8,-3.68291e-05,-0.000713534,0,-0.859777,-0,8,4.55061,4.50009,8,0.00162593,-0.000339507,-0.861459
0.8,4.66698,4.60994,8,4.1199e-05,-0.00127101,0,-0.538984,-0,8,4.66577,4.61117,8,0.00176152,-0.000925439,-0.566499
0.82,4.78223,4.72093,8,4.8267e-05,-0.00160054,0,-0.318608,-0,8,4.78098,4.72219,8,0.00182057,-0.00129639,-0.35866
0.84,4.89758,4.8318,8,-1.08427e-05,-4.05587e-05,0,-1.47504,-0,8,4.8963,4.83311,8,0.0018134,0.000305455,-1.43458
0.86,5.01307,4.94254,8,0.00016292,-0.00101594,0,-0.942977,-0,8,5.01175,4.94388,8,0.00204237,-0.000671772,-0.944762
0.88,5.12865,5.05318,8,0.000211163,-0.00160955,0,-0.573928,-0,8,5.1273,5.05456,8,0.00214358,-0.00129171,-0.59938
0.9,5.24436,5.16369,8,4.21028e-05,3.26807e-06,0,-1.68479,-0,8,5.24297,5.1651,8,0.00202946,0.000373453,-1.63422
0.92,5.36022,5.27403,8,0.000233962,-0.00110764,0,-1.07397,-0,8,5.35879,5.27549,8,0.00228073,-0.00073519,-1.07178
0.94,5.47619,5.38426,8,0.000283085,-0.00178094,0,-0.650961,-0,8,5.47471,5.38577,8,0.00238735,-0.00143458,-0.676183
0.96,5.59229,5.49436,8,-2.02734e-05,7.26067e-06,0,-1.78152,-0,8,5.59078,5.4959,8,0.00214357,0.00040726,-1.7297
0.98,5.70856,5.60427,8,0.000189269,-0.00117059,0,-1.13868,-0,8,5.707,5.60587,8,0.00241717,-0.000769797,-1.13791
1,5.82493,5.71408,8,0.00024725,-0.00188726,0,-0.692891,-0,8,5.82333,5.71572,8,0.00253696,-0.00151547,-0.720925
1.02,5.94145,5.82373,8,-0.000183888,9.7682e-05,0,-1.86343,-0,8,5.93981,5.82542,8,0.00216942,0.000523184,-1.81156
1.04,6.05814,5.9332,8,5.7845e-05,-0.00114507,0,-1.2014,-0,8,6.05645,5.93493,8,0.00247915,-0.000720618,-1.20241
1.06,6.17494,6.04255,8,0.000138907,-0.0019107,0,-0.740218,-0,8,6.17321,6.04433,8,0.00262558,-0.00151802,-0.770936
1.08,6.29181,6.15183,8,0.000123474,-0.00235127,0,-0.425968,-0,8,6.29003,6.15365,8,0.00266924,-0.00200535,-0.47117
1.1,6.40882,6.26096,8,0.000191499,-0.00027817,0,-2.05654,-0,8,6.407,6.26283,8,0.00279633,0.000117265,-2.00873
1.12,6.52601,6.36988,8,0.000388915,-0.0016166,0,-1.29386,-0,8,6.52415,6.3718,8,0.00305691,-0.00122238,-1.29503
1.14,6.64333,6.47869,8,0.000415604,-0.00241225,0,-0.769238,-0,8,6.64143,6.48064,8,0.00314431,-0.00204767,-0.797898
1.16,6.76081,6.5873,8,0.000393025,-0.000335486,0,-2.33803,-0,8,6.75887,6.5893,8,0.00318471,9.11785e-05,-2.27809
1.18,6.87851,6.69568,8,0.000591678,-0.00184476,0,-1.45895,-0,8,6.87652,6.69774,8,0.00345191,-0.00141454,-1.45552
1.2,6.99634,6.80392,8,0.000598698,-0.0027309,0,-0.85672,-0,8,6.99431,6.80602,8,0.0035254,-0.0023303,-0.885346
1.22,7.11436,6.91196,8,0.000462848,-0.000480574,0,-2.46283,-0,8,7.11228,6.91411,8,0.00345837,-1.58515e-05,-2.40095
1.24,7.2326,7.01975,8,0.000657138,-0.00206324,0,-1.52986,-0,8,7.23047,7.02196,8,0.00372716,-0.00159663,-1.52804
1.26,7.35097,7.1274,8,0.000650993,-0.00298601,0,-0.892124,-0,8,7.34879,7.12966,8,0.00379302,-0.00255263,-0.924241
1.28,7.46954,7.23483,8,0.000422887,-0.000536183,0,-2.57054,-0,8,7.46731,7.23715,8,0.00363891,-3.80566e-05,-2.50807
1.3,7.58834,7.34201,8,0.000628072,-0.00218918,0,-1.59781,-0,8,7.58605,7.34439,8,0.00392378,-0.00169128,-1.59804
1.32,7.70728,7.44903,8,0.000623834,-0.00315397,0,-0.932737,-0,8,7.70494,7.45147,8,0.00399627,-0.00269279,-0.968228
1.34,7.82641,7.55583,8,0.000329476,-0.000515493,0,-2.69724,-0,8,7.82403,7.55832,8,0.00378035,1.19315e-05,-2.63333
1.36,7.9458,7.66236,8,0.00055715,-0.00225583,0,-1.68219,-0,8,7.94335,7.66492,8,0.00409229,-0.00172996,-1.68369
1.38,8.06532,7.76872,8,0.00056391,-0.0032769,0,-0.987143,-0,8,8.06282,7.77134,8,0.00418002,-0.00279055,-1.02534
1.4,8.18506,7.87485,8,0.000226804,-0.000464316,0,-2.84708,-0,8,8.18251,7.87753,8,0.00392543,9.08332e-05,-2.78072
1.42,8.30505,7.98069,8,0.000481357,-0.00230807,0,-1.78209,-0,8,8.30244,7.98343,8,0.00426863,-0.00175509,-1.78419
1.44,8.4252,8.08635,8,0.000501382,-0.0033959,0,-1.05167,-0,8,8.42253,8.08916,8,0.00437378,-0.00288479,-1.09213
1.46,8.54557,8.19176,8,0.00014366,-0.000420521,0,-3.01756,-0,8,8.54284,8.19463,8,0.0041026,0.000162744,-2.94799
1.48,8.66621,8.29686,8,0.000423814,-0.00237956,0,-1.89344,-0,8,8.66342,8.29981,8,0.00447589,-0.00179868,-1.89574
