t,kf_err,ekf_err,kf_P_trace,ekf_P_trace
2.66,3.54345,1.72821,5.92755,38.3437
2.68,3.64719,1.75111,6.0189,39.7692
2.7,3.7523,1.77396,6.11162,41.2217
2.72,3.85876,1.79659,6.20569,42.7024
2.74,3.96655,1.8192,6.30112,44.2117
2.76,4.07563,1.84174,6.39793,45.7505
2.78,4.18599,1.86419,6.4961,47.3195
2.8,3.39126,1.83984,5.298,34.6251
2.82,3.50528,1.86621,5.37812,36.0787
2.84,3.62059,1.89294,5.45941,37.5709
2.86,3.73717,1.92002,5.54187,39.1029
2.88,3.85499,1.94744,5.62551,40.6759
2.9,3.97404,1.97515,5.71032,42.2905
2.92,4.09429,2.00313,5.79632,43.9478
2.94,4.21573,2.03139,5.8835,45.6489
2.96,4.33834,2.05992,5.97186,47.3949
2.98,4.4621,2.08862,6.06141,49.1869
3,2.97102,0.692293,4.97931,35.4306
3.02,3.07735,0.717533,5.05303,36.812
3.04,3.18503,0.745063,5.12778,38.2274
3.06,3.29401,0.774568,5.20355,39.6774
3.08,3.40427,0.8057,5.28035,41.1633
3.1,3.51578,0.83843,5.35819,42.6862
3.12,3.62851,0.872585,5.43706,44.2476
3.14,3.74243,0.907877,5.51696,45.848
3.16,3.85752,0.944392,5.59791,47.4892
3.18,3.97375,0.981822,5.6799,49.1718
3.2,2.85612,1.74088,4.69978,36.1996
3.22,2.96812,1.79645,4.76785,37.6997
3.24,3.08129,1.85257,4.83683,39.2416
3.26,3.19562,1.90906,4.90671,40.8263
3.28,3.31108,1.96628,4.97751,42.4558
3.3,3.42766,2.02398,5.04922,44.131
3.32,3.54532,2.08212,5.12184,45.8531
3.34,3.66405,2.14059,5.19539,47.6233
3.36,3.78381,2.19945,5.26986,49.4429
3.38,3.90458,2.2588,5.34525,51.3136
3.4,3.02734,2.17737,4.45425,36.5426
3.42,3.12939,2.23668,4.51735,37.9229
3.44,3.2328,2.29607,4.58127,39.3323
3.46,3.33754,2.35572,4.64599,40.7725
3.48,3.44355,2.41549,4.71153,42.244
3.5,3.55079,2.4752,4.77789,43.7478
3.52,3.65923,2.53515,4.84507,45.2851
3.54,3.76884,2.59526,4.91308,46.8571
3.56,3.87957,2.65546,4.9819,48.4646
3.58,3.99139,2.71552,5.05156,50.1082
3.6,3.37538,2.02323,4.23818,36.3992
3.62,3.47891,2.06214,4.29694,37.7925
3.64,3.58371,2.10119,4.35643,39.2126
3.66,3.68973,2.1404,4.41665,40.6604
3.68,3.79693,2.17981,4.47761,42.137
3.7,3.90529,2.21918,4.53931,43.643
3.72,4.01475,2.25858,4.60175,45.1792
3.74,4.12531,2.29807,4.66493,46.7466
3.76,4.23692,2.3376,4.72887,48.346
3.78,4.34957,2.37711,4.79355,49.978
3.8,4.29308,2.00306,4.04769,35.8847
3.82,4.40375,2.06334,4.10265,37.2019
3.84,4.51544,2.12436,4.15828,38.5409
3.86,4.62813,2.18604,4.21458,39.9024
3.88,4.74179,2.24833,4.27155,41.2868
3.9,4.85642,2.31112,4.32919,42.6951
3.92,4.97197,2.37441,4.38752,44.1277
3.94,5.08845,2.43811,4.44653,45.5854
3.96,5.20582,2.50217,4.50622,47.0689
3.98,5.32408,2.56654,4.56659,48.5789
4,4.51364,1.37498,3.87945,34.8376
4.02,4.63145,1.43134,3.9311,36.181
4.04,4.75021,1.48788,3.98337,37.5478
4.06,4.86989,1.54456,4.03625,38.9387
4.08,4.9905,1.60134,4.08976,40.3543
4.1,5.11201,1.65817,4.14389,41.7955
4.12,5.23441,1.71491,4.19864,43.263
4.14,5.35768,1.77172,4.25402,44.7572
4.16,5.4818,1.82853,4.31004,46.2788
4.18,5.60677,1.88531,4.36669,47.8284
4.2,5.16827,2.62101,3.73065,34.2054
4.22,5.28213,2.68316,3.77942,35.5175
4.24,5.39684,2.74515,3.82876,36.8504
4.26,5.51239,2.80688,3.87868,38.2047
4.28,5.62875,2.8684,3.92917,39.5811
4.3,5.7459,2.92977,3.98025,40.9799
4.32,5.86383,2.99094,4.03191,42.4019
4.34,5.98249,3.05177,4.08415,43.848
4.36,6.10187,3.1123,4.13699,45.3185
4.38,6.22194,3.17254,4.19041,46.8138
4.4,6.65198,5.45251,3.59889,33.9948
4.42,6.77336,5.58572,3.64515,35.2176
4.44,6.89532,5.71846,3.69195,36.4653
4.46,7.01783,5.85071,3.73929,37.7387
4.48,7.14086,5.98222,3.78718,39.0388
4.5,7.26439,6.11308,3.83561,40.3661
4.52,7.3884,6.24335,3.88459,41.7213
4.54,7.51285,6.37288,3.93412,43.1051
4.56,7.63775,6.50184,3.9842,44.5182
4.58,7.76305,6.62993,4.03484,45.9614
4.6,7.38536,5.97418,3.48213,33.7068
4.62,7.50455,6.07778,3.52621,34.9843
4.64,7.62415,6.18065,3.57081,36.2839
4.66,7.7441,6.28286,3.61592,37.6062
4.68,7.86439,6.38434,3.66154,38.9521
4.7,7.98501,6.4851,3.70768,40.322
4.72,8.10593,6.5852,3.75434,41.7168
4.74,8.22713,6.6845,3.80152,43.1371
4.76,8.34859,6.78309,3.84922,44.5834
4.78,8.4703,6.88081,3.89746,46.0564
4.8,7.42123,5.00985,3.37862,33.743
4.82,7.53726,5.07499,3.42082,35.0179
4.84,7.65365,5.13961,3.46351,36.3135
4.86,7.77038,5.20365,3.50669,37.6306
4.88,7.88744,5.26707,3.55035,38.9697
4.9,8.0048,5.32991,3.59451,40.3316
4.92,8.12244,5.3922,3.63917,41.717
4.94,8.24034,5.45386,3.68432,43.1264
4.96,8.35848,5.5149,3.72997,44.5605
4.98,8.47686,5.57533,3.77613,46.0198
5,7.12303,4.36909,3.28688,33.5596
5.02,7.2214,4.42357,3.32745,34.8686
5.04,7.32016,4.47842,3.36849,36.2262
5.06,7.41932,4.53365,3.40999,37.6332
5.08,7.51885,4.5892,3.45197,39.0906
5.1,7.61871,4.64498,3.49442,40.5993
5.12,7.7189,4.70103,3.53734,42.1603
5.14,7.81941,4.7572,3.58074,43.7743
5.16,7.92021,4.81353,3.62463,45.4421
5.18,8.02131,4.87,3.66899,47.1647
5.2,6.50723,3.88984,3.20561,33.9052
5.22,6.59635,3.88995,3.24477,35.4138
5.24,6.68607,3.89123,3.28438,36.9796
5.26,6.77637,3.89359,3.32445,38.6033
5.28,6.86725,3.89716,3.36496,40.2864
5.3,6.95869,3.90185,3.40594,42.0296
5.32,7.05067,3.90757,3.44737,43.8331
5.34,7.14318,3.91443,3.48927,45.6987
5.36,7.2362,3.92243,3.53164,47.6266
5.38,7.32972,3.93146,3.57447,49.6179
5.4,6.26811,2.1284,3.13369,34.9837
5.42,6.35646,2.07075,3.17164,36.4501
5.44,6.44555,2.01419,3.21002,37.9571
5.46,6.53537,1.95878,3.24884,39.5053
5.48,6.6259,1.90466,3.28811,41.0955
5.5,6.71711,1.85194,3.32782,42.7285
5.52,6.809,1.8007,3.36797,44.4046
5.54,6.90154,1.75113,3.40858,46.1253
5.56,6.99471,1.70331,3.44964,47.8906
5.58,7.08851,1.65741,3.49115,49.7015
5.6,5.42628,2.98866,3.07013,35.4041
5.62,5.50975,3.03503,3.10704,36.9928
5.64,5.5943,3.08838,3.14437,38.6371
5.66,5.67989,3.14821,3.18213,40.3379
5.68,5.76648,3.214,3.22032,42.0959
5.7,5.85407,3.28552,3.25894,43.9126
5.72,5.94259,3.36242,3.298,45.7894
5.74,6.03204,3.4443,3.3375,47.7274
5.76,6.12237,3.53061,3.37744,49.7269
5.78,6.21358,3.62106,3.41783,51.7894
5.8,5.88759,0.436423,3.01407,36.1684
5.82,5.97516,0.400007,3.05008,37.5746
5.84,6.06367,0.376754,3.08652,39.0057
5.86,6.15309,0.368807,3.12337,40.4616
5.88,6.2434,0.377395,3.16064,41.9439
5.9,6.33457,0.401456,3.19834,43.4532
5.92,6.42658,0.438422,3.23647,44.9904
5.94,6.51942,0.485308,3.27502,46.5561
5.96,6.61305,0.539508,3.31401,48.1511
5.98,6.70747,0.599017,3.35343,49.7763
6,6.16859,1.00574,2.96474,35.1714
6.02,6.26014,1.08548,2.99999,36.4938
6.04,6.35257,1.16623,3.03566,37.8381
6.06,6.44584,1.24787,3.07173,39.2051
6.08,6.53994,1.33026,3.10823,40.5953
6.1,6.63484,1.41328,3.14514,42.0096
6.12,6.73053,1.49679,3.18247,43.4487
6.14,6.82698,1.5807,3.22023,44.9136
6.16,6.92416,1.66488,3.25841,46.405
6.18,7.02207,1.74938,3.29701,47.9236
6.2,6.43431,1.93346,2.92144,34.2906
6.22,6.52795,2.01885,2.95605,35.5863
6.24,6.62241,2.1049,2.99107,36.9034
6.26,6.71765,2.19139,3.02649,38.2427
6.28,6.81367,2.27844,3.06233,39.6049
6.3,6.91043,2.36592,3.09857,40.9908
6.32,7.00793,2.45373,3.13523,42.4012
6.34,7.10614,2.5419,3.17231,43.8369
6.36,7.20505,2.63038,3.2098,45.2987
6.38,7.30464,2.71904,3.24772,46.7875
6.4,6.33235,1.49956,2.88357,33.8077
6.42,6.41996,1.54359,2.91764,35.1036
6.44,6.50843,1.58921,2.95211,36.4216
6.46,6.59774,1.63637,2.98698,37.7625
6.48,6.68788,1.68484,3.02225,39.1272
6.5,6.77882,1.73476,3.05794,40.5164
6.52,6.87055,1.78611,3.09403,41.9308
6.54,6.96304,1.83858,3.13054,43.3712
6.56,7.05627,1.89185,3.16746,44.839
6.58,7.15024,1.94605,3.2048,46.3347
6.6,6.25231,1.14839,2.85055,33.9599
6.62,6.34562,1.19309,2.88417,35.3226
6.64,6.43971,1.23854,2.91818,36.7132
6.66,6.53457,1.28451,2.95259,38.1329
6.68,6.63018,1.33083,2.9874,39.5827
6.7,6.72651,1.37758,3.02262,41.0634
6.72,6.82355,1.42463,3.05824,42.576
6.74,6.92127,1.472,3.09427,44.1214
6.76,7.01966,1.51961,3.13071,45.7006
6.78,7.11871,1.56761,3.16757,47.314
6.8,6.6095,2.02265,2.82189,34.2547
6.82,6.69882,2.07027,2.85513,35.555
6.84,6.78888,2.11882,2.88876,36.8781
6.86,6.87967,2.16815,2.92278,38.2249
6.88,6.97117,2.21827,2.95721,39.5961
6.9,7.06336,2.26925,2.99203,40.9924
6.92,7.15623,2.32105,3.02726,42.4146
6.94,7.24975,2.37359,3.0629,43.8637
6.96,7.34391,2.42664,3.09895,45.3408
6.98,7.4387,2.48015,3.1354,46.8467
7,5.91354,0.984788,2.79712,34.3306
7.02,5.99886,1.03665,2.83004,35.8048
7.04,6.08495,1.08862,2.86336,37.3303
7.06,6.17178,1.14044,2.89707,38.9078
7.08,6.25935,1.19242,2.93117,40.5392
7.1,6.34762,1.24442,2.96568,42.2255
7.12,6.43657,1.29645,3.00059,43.9681
7.14,6.52618,1.34849,3.0359,45.7683
7.16,6.61643,1.40053,3.07161,47.6271
7.18,6.70729,1.45254,3.10774,49.546
