t,kf_err,ekf_err,kf_P_trace,ekf_P_trace
11.64,6.32631,2.65475,2.73606,36.4738
11.66,6.47332,2.73742,2.76871,37.8161
11.68,6.62069,2.82025,2.80175,39.1804
11.7,6.76839,2.90327,2.83518,40.5675
11.72,6.91639,2.98646,2.86901,41.9778
11.74,7.06468,3.06965,2.90324,43.412
11.76,7.21323,3.15285,2.93786,44.8707
11.78,7.36202,3.23635,2.97289,46.3544
11.8,6.13107,0.724027,2.67182,33.6243
11.82,6.27286,0.710753,2.7037,34.9954
11.84,6.41495,0.697732,2.73596,36.4058
11.86,6.55731,0.685136,2.76861,37.8564
11.88,6.69993,0.672986,2.80166,39.3477
11.9,6.84277,0.661207,2.83509,40.8809
11.92,6.98583,0.649901,2.86892,42.457
11.94,7.12908,0.639056,2.90315,44.077
11.96,7.2725,0.628759,2.93778,45.7414
11.98,7.41607,0.61901,2.97281,47.4513
12,6.96189,1.18462,2.67173,34.3989
12.02,7.1017,1.20331,2.70361,35.8045
12.04,7.24167,1.2227,2.73588,37.2373
12.06,7.38177,1.2425,2.76853,38.6984
12.08,7.522,1.26294,2.80157,40.188
12.1,7.66233,1.28391,2.835,41.7071
12.12,7.80275,1.3051,2.86883,43.257
12.14,7.94323,1.32651,2.90306,44.8385
12.16,8.08377,1.34824,2.93769,46.4519
12.18,8.22434,1.37041,2.97272,48.0977
12.2,7.41728,1.02191,2.67165,34.778
12.22,7.5507,1.04098,2.70353,36.2147
12.24,7.68419,1.06069,2.73579,37.6813
12.26,7.81776,1.08103,2.76844,39.1787
12.28,7.95138,1.10187,2.80148,40.7079
12.3,8.08505,1.12334,2.83492,42.2694
12.32,8.21875,1.14536,2.86874,43.864
12.34,8.35247,1.16781,2.90297,45.4929
12.36,8.48621,1.19069,2.9376,47.1569
12.38,8.61995,1.21391,2.97263,48.857
12.4,7.68743,0.654366,2.67156,35.0802
12.42,7.81522,0.655876,2.70344,36.5717
12.44,7.94308,0.657882,2.7357,38.0959
12.46,8.07102,0.660405,2.76835,39.6536
12.48,8.19901,0.663517,2.80139,41.2455
12.5,8.32704,0.667076,2.83482,42.8729
12.52,8.45512,0.671212,2.86865,44.5361
12.54,8.58324,0.675836,2.90288,46.2363
12.56,8.71138,0.68081,2.9375,47.9748
12.58,8.83954,0.686123,2.97253,49.7526
12.6,7.46196,2.33389,2.67146,35.1009
12.62,7.57508,2.43056,2.70334,36.7067
12.64,7.68835,2.5272,2.7356,38.3652
12.66,7.80178,2.62369,2.76825,40.0776
12.68,7.91536,2.71995,2.80129,41.8451
12.7,8.02907,2.81609,2.83472,43.6693
12.72,8.14291,2.9122,2.86855,45.5521
12.74,8.25687,3.00839,2.90277,47.4951
12.76,8.37094,3.10447,2.93739,49.4992
12.78,8.48513,3.20052,2.97242,51.5661
12.8,8.55391,4.23744,2.67136,35.7891
12.82,8.66434,4.29931,2.70324,37.0392
12.84,8.77488,4.36103,2.7355,38.3101
12.86,8.88553,4.42284,2.76814,39.6031
12.88,8.99629,4.48472,2.80118,40.9191
12.9,9.10716,4.54664,2.83461,42.2586
12.92,9.21813,4.60866,2.86843,43.6228
12.94,9.3292,4.67075,2.90266,45.0125
12.96,9.44038,4.73294,2.93728,46.4288
12.98,9.55166,4.79515,2.9723,47.8724
13,7.77867,4.00006,2.67126,35.9951
13.02,7.87201,4.08117,2.70313,37.4932
13.04,7.96566,4.1623,2.73539,39.0337
13.06,8.05963,4.24345,2.76803,40.6179
13.08,8.15392,4.32466,2.80106,42.2472
13.1,8.24853,4.40581,2.83449,43.9226
13.12,8.34347,4.48681,2.86831,45.6453
13.14,8.43872,4.56781,2.90253,47.4169
13.16,8.5343,4.64867,2.93715,49.2383
13.18,8.6302,4.72946,2.97218,51.111
13.2,7.72203,1.68828,2.67114,36.3882
13.22,7.81488,1.68113,2.70301,37.7942
13.24,7.90815,1.67465,2.73527,39.2268
13.26,8.00182,1.66879,2.76791,40.6866
13.28,8.09588,1.66363,2.80094,42.1748
13.3,8.19034,1.65904,2.83437,43.6917
13.32,8.28519,1.65501,2.86819,45.2382
13.34,8.38042,1.65174,2.9024,46.8157
13.36,8.47602,1.64905,2.93702,48.4244
13.38,8.572,1.64697,2.97204,50.0651
13.4,7.35888,0.426376,2.67103,35.2692
13.42,7.44964,0.378431,2.7029,36.6292
13.44,7.54086,0.330584,2.73515,38.014
13.46,7.63253,0.28319,2.76779,39.4248
13.48,7.72464,0.236518,2.80082,40.8624
13.5,7.81718,0.191257,2.83424,42.3277
13.52,7.91014,0.148659,2.86806,43.8216
13.54,8.00352,0.111574,2.90227,45.3447
13.56,8.0973,0.0874014,2.93689,46.8976
13.58,8.19147,0.0878148,2.9719,48.4817
13.6,7.14936,0.449576,2.67091,34.5483
13.62,7.23727,0.43348,2.70277,35.9249
13.64,7.32563,0.42044,2.73502,37.3277
13.66,7.41445,0.410772,2.76766,38.7574
13.68,7.5037,0.404678,2.80069,40.2147
13.7,7.59339,0.402377,2.83411,41.7008
13.72,7.68349,0.404018,2.86792,43.2168
13.74,7.774,0.409546,2.90213,44.7636
13.76,7.8649,0.418643,2.93675,46.3419
13.78,7.95619,0.431092,2.97176,47.952
13.8,6.67954,1.64533,2.67079,34.296
13.82,6.7653,1.67425,2.70265,35.7115
13.84,6.85152,1.7038,2.7349,37.1588
13.86,6.93817,1.73385,2.76753,38.6386
13.88,7.02526,1.76449,2.80056,40.1521
13.9,7.11276,1.79548,2.83398,41.6999
13.92,7.20066,1.82691,2.86779,43.2833
13.94,7.28896,1.85874,2.902,44.903
13.96,7.37764,1.89096,2.93661,46.5602
13.98,7.46668,1.92377,2.97162,48.2563
14,6.73456,0.607894,2.67067,34.5748
14.02,6.81725,0.607205,2.70253,35.9786
14.04,6.90034,0.608219,2.73478,37.4091
14.06,6.98384,0.610852,2.76741,38.867
14.08,7.06726,0.61623,2.80043,40.3538
14.1,7.15013,0.623817,2.83384,41.8685
14.12,7.23243,0.633515,2.86765,43.4116
14.14,7.31415,0.645167,2.90186,44.9834
14.16,7.39527,0.658708,2.93647,46.5849
14.18,7.47578,0.674005,2.97148,48.2164
14.2,5.99472,2.77853,2.67055,34.6039
14.22,6.06737,2.84002,2.70241,36.1298
14.24,6.13962,2.9015,2.73465,37.6967
14.26,6.21146,2.96301,2.76728,39.3059
14.28,6.28288,3.02447,2.8003,40.9579
14.3,6.35387,3.08589,2.83372,42.6538
14.32,6.42442,3.14704,2.86752,44.3938
14.34,6.49556,3.20619,2.90173,46.1784
14.36,6.56823,3.26543,2.93633,48.0132
14.38,6.64237,3.32482,2.97134,49.8993
14.4,5.84998,1.76837,2.67044,35.2983
14.42,5.91702,1.774,2.70229,36.7341
14.44,5.9855,1.78017,2.73454,38.206
14.46,6.05533,1.78682,2.76716,39.7148
14.48,6.12645,1.79369,2.80018,41.2609
14.5,6.19876,1.80103,2.83359,42.8459
14.52,6.27221,1.80885,2.8674,44.4708
14.54,6.34673,1.81714,2.9016,46.1366
14.56,6.42226,1.82565,2.9362,47.8436
14.58,6.49872,1.83461,2.9712,49.5934
14.6,5.80116,1.63693,2.67033,35.4653
14.62,5.87837,1.64206,2.70218,36.8765
14.64,5.95629,1.64752,2.73442,38.3137
14.66,6.03486,1.65333,2.76705,39.7778
14.68,6.11402,1.65936,2.80006,41.2694
14.7,6.19373,1.66564,2.83347,42.7893
14.72,6.27395,1.6722,2.86727,44.3384
14.74,6.35462,1.6791,2.90147,45.9179
14.76,6.43571,1.68626,2.93607,47.528
14.78,6.51717,1.69376,2.97107,49.1704
14.8,5.65214,0.868191,2.67022,35.0475
14.82,5.72531,0.857083,2.70208,36.462
14.84,5.79888,0.846591,2.73431,37.9058
14.86,5.87282,0.836923,2.76694,39.38
14.88,5.9471,0.828023,2.79995,40.8855
14.9,6.02168,0.820012,2.83336,42.4233
14.92,6.09652,0.812848,2.86716,43.9941
14.94,6.1716,0.806585,2.90135,45.5989
14.96,6.24689,0.801383,2.93595,47.2389
14.98,6.32235,0.797083,2.97095,48.9146
15,6.20087,2.73128,2.67013,34.8906
15.02,6.27819,2.80398,2.70198,36.1611
15.04,6.35548,2.87819,2.73421,37.4524
15.06,6.43271,2.95373,2.76683,38.7653
15.08,6.50986,3.03029,2.79985,40.1011
15.1,6.58691,3.10792,2.83325,41.4603
15.12,6.66383,3.18656,2.86705,42.8436
15.14,6.74062,3.26611,2.90124,44.2518
15.16,6.81726,3.34647,2.93584,45.6857
15.18,6.89372,3.42752,2.97084,47.1461
15.2,5.74362,1.29702,2.67003,34.2222
15.22,5.81162,1.30526,2.70188,35.5988
15.24,5.87941,1.31355,2.73412,37.0033
15.26,5.94697,1.32189,2.76674,38.4368
15.28,6.01428,1.33027,2.79975,39.9001
15.3,6.08131,1.33868,2.83315,41.394
15.32,6.14806,1.34712,2.86695,42.9196
15.34,6.21449,1.35557,2.90114,44.4771
15.36,6.28059,1.36404,2.93573,46.0679
15.38,6.34633,1.37251,2.97073,47.6928
15.4,5.62362,0.428998,2.66995,34.4309
15.42,5.68346,0.449105,2.7018,35.8265
15.44,5.74296,0.470343,2.73403,37.2507
15.46,5.80209,0.492501,2.76665,38.7043
15.48,5.86083,0.515681,2.79966,40.1879
15.5,5.91915,0.539465,2.83306,41.7029
15.52,5.97703,0.563862,2.86685,43.2497
15.54,6.03444,0.588944,2.90105,44.8291
15.56,6.09134,0.614517,2.93564,46.4419
15.58,6.1477,0.640333,2.97063,48.0893
15.6,4.9128,2.17449,2.66987,34.5028
15.62,4.95852,2.23522,2.70172,36.0372
15.64,5.0035,2.29617,2.73395,37.6182
15.66,5.0477,2.35702,2.76657,39.2461
15.68,5.0911,2.41798,2.79957,40.9227
15.7,5.13366,2.47909,2.83297,42.649
15.72,5.17536,2.54034,2.86677,44.4262
15.74,5.21617,2.60165,2.90096,46.2554
15.76,5.25604,2.66311,2.93555,48.1377
15.78,5.29496,2.72433,2.97054,50.073
15.8,4.97441,0.584307,2.6698,35.5161
15.82,5.00937,0.570953,2.70165,36.9571
15.84,5.04334,0.557812,2.73388,38.4246
15.86,5.0763,0.544642,2.76649,39.9186
15.88,5.10821,0.531443,2.7995,41.44
15.9,5.13904,0.51825,2.8329,42.9896
15.92,5.16878,0.505107,2.86669,44.5679
15.94,5.19743,0.491933,2.90088,46.1755
15.96,5.22495,0.47872,2.93547,47.813
15.98,5.25136,0.465528,2.97046,49.4812
16,4.52892,0.369683,2.66974,35.2724
16.02,4.54902,0.367991,2.70158,36.7068
16.04,4.56805,0.36769,2.73381,38.1681
16.06,4.58601,0.368848,2.76643,39.657
16.08,4.60293,0.371344,2.79943,41.1742
16.1,4.61882,0.375122,2.83283,42.7203
16.12,4.63369,0.380219,2.86662,44.2962
16.14,4.64753,0.386659,2.90081,45.903
16.16,4.66035,0.394357,2.9354,47.5413
16.18,4.67215,0.403145,2.97039,49.2116
16.2,3.97665,0.828129,2.66968,35.076
16.22,3.98362,0.848927,2.70152,36.5123
16.24,3.98981,0.870123,2.73375,37.9764
16.26,3.99524,0.891579,2.76637,39.4684
16.28,3.99993,0.913394,2.79937,40.99
16.3,4.00389,0.935501,2.83277,42.5418
16.32,4.00719,0.957805,2.86656,44.1241
16.34,4.00987,0.980299,2.90075,45.7375
16.36,4.01195,1.00292,2.93533,47.3827
16.38,4.01346,1.02571,2.97032,49.0605
16.4,3.53912,0.862696,2.66963,34.9743
16.42,3.5383,0.886205,2.70147,36.3809
16.44,3.53726,0.909917,2.7337,37.8127
16.46,3.53607,0.933785,2.76631,39.2706
16.48,3.53478,0.957787,2.79932,40.7551
16.5,3.53349,0.981938,2.83271,42.2671
16.52,3.53224,1.00615,2.8665,43.8077
16.54,3.53111,1.03043,2.90069,45.3776
16.56,3.53019,1.05485,2.93528,46.9772
16.58,3.52951,1.07926,2.97027,48.6075
16.6,2.91498,1.3188,2.66958,34.9144
16.62,2.89793,1.34536,2.70143,36.3074
16.64,2.88134,1.3719,2.73365,37.7318
16.66,2.86531,1.39845,2.76627,39.1887
16.68,2.84997,1.425,2.79927,40.6791
16.7,2.83545,1.45154,2.83266,42.2041
16.72,2.82187,1.47797,2.86645,43.7644
16.74,2.80933,1.50432,2.90064,45.3612
16.76,2.79798,1.5307,2.93523,46.9955
16.78,2.78796,1.55718,2.97022,48.6687
16.8,2.39567,0.955111,2.66954,35.6825
16.82,2.38768,0.96234,2.70139,37.1098
16.84,2.38195,0.969232,2.73361,38.5661
16.86,2.37868,0.975965,2.76622,40.0528
16.88,2.378,0.982669,2.79923,41.5708
16.9,2.38004,0.98933,2.83262,43.1212
16.92,2.38497,0.99589,2.86641,44.7046
16.94,2.3929,1.00238,2.9006,46.322
16.96,2.40394,1.00888,2.93518,47.9745
16.98,2.41818,1.01538,2.97017,49.663
17,1.79276,1.82157,2.66951,35.8495
17.02,1.81084,1.85138,2.70135,37.3447
17.04,1.83394,1.88092,2.73358,38.8752
17.06,1.86205,1.91037,2.76619,40.4424
17.08,1.89515,1.93965,2.79919,42.0471
17.1,1.93315,1.96877,2.83259,43.6904
17.12,1.97597,1.9978,2.86637,45.3733
17.14,2.02347,2.02659,2.90056,47.0966
17.16,2.07548,2.05513,2.93515,48.8611
17.18,2.13183,2.08343,2.97013,50.6677
17.2,2.09897,2.00407,2.66948,35.8023
17.22,2.18276,2.02605,2.70132,37.2504
17.24,2.26973,2.04839,2.73355,38.7269
17.26,2.35968,2.07104,2.76616,40.2326
17.28,2.45241,2.09396,2.79916,41.768
17.3,2.54776,2.11718,2.83255,43.3342
17.32,2.64555,2.14067,2.86634,44.9319
17.34,2.74565,2.1644,2.90053,46.5615
17.36,2.84793,2.18833,2.93511,48.2239
17.38,2.95226,2.21249,2.9701,49.9201
17.4,3.30653,2.85857,2.66945,35.1143
17.42,3.40285,2.97244,2.7013,36.3587
17.44,3.50119,3.08618,2.73352,37.6232
17.46,3.60145,3.1996,2.76613,38.9089
17.48,3.70356,3.31287,2.79913,40.2162
17.5,3.80742,3.42601,2.83253,41.5459
17.52,3.91298,3.5389,2.86632,42.8988
17.54,4.02016,3.65152,2.9005,44.2757
17.56,4.1289,3.76392,2.93509,45.6774
17.58,4.23914,3.87621,2.97007,47.1042
17.6,3.52127,1.62005,2.66943,34.4086
17.62,3.61899,1.66188,2.70127,35.6873
17.64,3.71862,1.70363,2.7335,36.9891
17.66,3.82008,1.74528,2.76611,38.3153
17.68,3.92328,1.78688,2.79911,39.6662
17.7,4.02815,1.82836,2.83251,41.043
17.72,4.13463,1.86973,2.86629,42.4465
17.74,4.24265,1.91099,2.90048,43.8774
17.76,4.35214,1.95213,2.93506,45.3365
17.78,4.46305,1.99318,2.97005,46.8243
17.8,3.97558,3.41219,2.66941,34.9492
17.82,4.06032,3.49258,2.70126,36.2093
17.84,4.147,3.57302,2.73348,37.5009
17.86,4.23554,3.6532,2.76609,38.8249
17.88,4.32586,3.7331,2.79909,40.1819
17.9,4.41789,3.81281,2.83249,41.5732
17.92,4.51157,3.89231,2.86627,42.9995
17.94,4.60683,3.97154,2.90046,44.4617
17.96,4.70361,4.05042,2.93504,45.9604
17.98,4.80185,4.12902,2.97003,47.4965
18,4.16629,3.02101,2.6694,36.0301
18.02,4.26216,3.06555,2.70124,37.4624
18.04,4.35964,3.10974,2.73347,38.9279
18.06,4.45867,3.15375,2.76608,40.4278
18.08,4.55917,3.19746,2.79908,41.9626
18.1,4.66109,3.2409,2.83247,43.5333
18.12,4.76437,3.28424,2.86626,45.1411
18.14,4.86894,3.32726,2.90044,46.7863
18.16,4.97475,3.37004,2.93503,48.4698
18.18,5.08176,3.41243,2.97001,50.1918
18.2,4.1456,3.19458,2.66939,35.9036
18.22,4.24491,3.22849,2.70123,37.4378
18.24,4.3457,3.26253,2.73345,39.0128
18.26,4.44792,3.29641,2.76606,40.6289
18.28,4.55151,3.33045,2.79907,42.2877
18.3,4.65641,3.36441,2.83246,43.9896
18.32,4.76256,3.39832,2.86625,45.7356
18.34,4.8699,3.43232,2.90043,47.5268
18.36,4.97838,3.46619,2.93502,49.3636
18.38,5.08795,3.49993,2.97,51.2466
18.4,4.98241,0.884647,2.66938,35.5328
18.42,5.09695,0.908878,2.70122,36.8728
18.44,5.21245,0.938244,2.73344,38.2353
18.46,5.32888,0.972191,2.76605,39.6212
18.48,5.44618,1.01029,2.79906,41.031
18.5,5.56432,1.05203,2.83245,42.4654
18.52,5.68326,1.09687,2.86624,43.9255
18.54,5.80297,1.1446,2.90042,45.4111
18.56,5.92339,1.19465,2.935,46.9234
18.58,6.04449,1.24676,2.96999,48.4627
18.6,4.87346,1.54976,2.66937,34.1828
18.62,4.99541,1.56363,2.70121,35.6015
18.64,5.1182,1.57957,2.73343,37.0527
18.66,5.24179,1.59744,2.76605,38.5372
18.68,5.36614,1.61725,2.79905,40.0557
18.7,5.4912,1.63875,2.83244,41.6088
18.72,5.61694,1.66188,2.86623,43.1972
18.74,5.74333,1.68656,2.90041,44.8215
18.76,5.87033,1.71251,2.935,46.482
18.78,5.99791,1.73993,2.96998,48.1797
18.8,5.97513,2.83512,2.66936,34.3504
18.82,6.11117,2.91289,2.7012,35.6473
18.84,6.24766,2.99251,2.73343,36.9679
18.86,6.3846,3.07376,2.76604,38.3133
18.88,6.52194,3.15645,2.79904,39.6842
18.9,6.65966,3.24046,2.83243,41.081
18.92,6.79774,3.32567,2.86622,42.5041
18.94,6.93613,3.41193,2.9004,43.9544
18.96,7.07483,3.49911,2.93499,45.4323
18.98,7.21381,3.58714,2.96998,46.9383
19,6.29639,3.468,2.66936,33.9007
19.02,6.4358,3.54696,2.7012,35.3049
19.04,6.57554,3.62595,2.73342,36.7392
19.06,6.71557,3.70486,2.76603,38.2043
19.08,6.85588,3.78373,2.79903,39.7011
19.1,6.99645,3.86255,2.83243,41.2304
19.12,7.13726,3.94125,2.86621,42.7926
19.14,7.27828,4.01983,2.9004,44.3889
19.16,7.41951,4.09827,2.93498,46.0199
19.18,7.56091,4.17651,2.96997,47.6862
19.2,6.83113,2.72114,2.66935,34.335
19.22,6.96568,2.77652,2.70119,35.6682
19.24,7.10047,2.83203,2.73342,37.023
19.26,7.23545,2.88762,2.76603,38.4003
19.28,7.37063,2.9432,2.79903,39.801
19.3,7.50599,2.99878,2.83242,41.2257
19.32,7.6415,3.05444,2.86621,42.675
19.34,7.77715,3.1101,2.9004,44.1498
19.36,7.91293,3.16581,2.93498,45.6506
19.38,8.04882,3.22142,2.96997,47.1785
19.4,7.2679,2.08735,2.66935,34.7369
19.42,7.3945,2.13995,2.70119,35.9836
19.44,7.52128,2.19275,2.73341,37.2505
19.46,7.64824,2.24555,2.76603,38.5384
19.48,7.77535,2.2982,2.79903,39.8484
19.5,7.90259,2.35102,2.83242,41.1809
19.52,8.02994,2.40363,2.86621,42.5369
19.54,8.1574,2.45626,2.90039,43.9172
19.56,8.28496,2.50914,2.93498,45.3221
19.58,8.4126,2.56199,2.96996,46.7528
19.6,7.81856,3.1612,2.66935,35.4827
19.62,7.9482,3.2168,2.70119,36.8224
19.64,8.07796,3.27212,2.73341,38.1868
19.66,8.20783,3.32745,2.76602,39.5762
19.68,8.3378,3.38273,2.79902,40.9916
19.7,8.46786,3.43768,2.83242,42.4341
19.72,8.59801,3.49254,2.86621,43.9042
19.74,8.72824,3.54737,2.90039,45.4025
19.76,8.85855,3.60206,2.93497,46.9299
19.78,8.98892,3.65655,2.96996,48.4873
19.8,8.338,3.22479,2.66935,35.2103
19.82,8.46253,3.27106,2.70119,36.5489
19.84,8.58718,3.31728,2.73341,37.9114
19.86,8.71194,3.36332,2.76602,39.299
19.88,8.83681,3.40931,2.79902,40.7122
19.9,8.96178,3.45508,2.83242,42.1523
19.92,9.08685,3.50066,2.8662,43.6198
19.94,9.21202,3.54618,2.90039,45.1155
19.96,9.33728,3.59177,2.93497,46.64
19.98,9.46262,3.63729,2.96996,48.1945
20,8.39676,2.75323,2.66934,34.7935
20.02,8.5199,2.76618,2.70118,36.2523
20.04,8.64319,2.77938,2.73341,37.7471
20.06,8.76663,2.7927,2.76602,39.2792
20.08,8.89022,2.80601,2.79902,40.8498
20.1,9.01395,2.81941,2.83241,42.4597
20.12,9.13782,2.83296,2.8662,44.1098
20.14,9.26182,2.84672,2.90039,45.8008
20.16,9.38597,2.8606,2.93497,47.5339
20.18,9.51024,2.87449,2.96996,49.3105
20.2,8.99064,3.20566,2.66934,34.8904
20.22,9.10944,3.23802,2.70118,36.2667
20.24,9.22843,3.27037,2.73341,37.6684
20.26,9.34758,3.30248,2.76602,39.0968
20.28,9.46691,3.33448,2.79902,40.5526
20.3,9.5864,3.36643,2.83241,42.0364
20.32,9.70605,3.39853,2.8662,43.5488
20.34,9.82587,3.43061,2.90039,45.0911
20.36,9.94584,3.46256,2.93497,46.6643
20.38,10.066,3.49474,2.96996,48.2686
20.4,8.31436,1.04178,2.66934,34.834
20.42,8.42429,1.084,2.70118,36.4811
20.44,8.5345,1.13242,2.73341,38.1919
20.46,8.64498,1.18643,2.76602,39.9682
20.48,8.75572,1.24522,2.79902,41.8111
20.5,8.86672,1.30802,2.83241,43.7219
20.52,8.97797,1.37432,2.8662,45.7024
20.54,9.08949,1.44369,2.90039,47.7541
20.56,9.20125,1.51568,2.93497,49.8783
20.58,9.31326,1.59004,2.96996,52.0773
20.6,8.35253,0.591221,2.66934,35.9607
20.62,8.45636,0.662355,2.70118,37.556
20.64,8.5605,0.733425,2.73341,39.1959
20.66,8.66496,0.804539,2.76602,40.8819
20.68,8.76973,0.87558,2.79902,42.615
20.7,8.8748,0.946803,2.83241,44.3974
20.72,8.98017,1.01802,2.8662,46.23
20.74,9.08584,1.08953,2.90038,48.115
20.76,9.1918,1.16098,2.93497,50.0528
20.78,9.29806,1.23229,2.96996,52.0447
20.8,8.17934,1.20395,2.66934,36.0661
20.82,8.27739,1.27182,2.70118,37.641
20.84,8.37579,1.33994,2.73341,39.2568
20.86,8.47455,1.40809,2.76602,40.9146
20.88,8.57365,1.47624,2.79902,42.6157
20.9,8.67309,1.54458,2.83241,44.362
20.92,8.77288,1.61297,2.8662,46.1545
20.94,8.873,1.68139,2.90038,47.9945
20.96,8.97344,1.74965,2.93497,49.8829
20.98,9.07422,1.81785,2.96995,51.8211
21,8.62475,4.10574,2.66934,35.9231
21.02,8.71659,4.18705,2.70118,37.2637
21.04,8.80881,4.26843,2.73341,38.6343
21.06,8.9014,4.35003,2.76602,40.0361
21.08,8.99435,4.43171,2.79902,41.4703
21.1,9.08767,4.51355,2.83241,42.9379
21.12,9.18133,4.59538,2.8662,44.4398
21.14,9.27535,4.67734,2.90038,45.9772
21.16,9.36972,4.75932,2.93497,47.5514
21.18,9.46443,4.84131,2.96995,49.1631
21.2,8.14481,1.5546,2.66934,36.0122
21.22,8.23336,1.56804,2.70118,37.4127
21.24,8.32224,1.5817,2.73341,38.841
21.26,8.41143,1.59561,2.76602,40.298
21.28,8.50092,1.6097,2.79902,41.7846
21.3,8.59071,1.62406,2.83241,43.3021
21.32,8.68079,1.6386,2.8662,44.8509
21.34,8.77116,1.65333,2.90038,46.432
21.36,8.86179,1.66825,2.93497,48.0466
21.38,8.95269,1.68335,2.96995,49.6956
21.4,8.19962,1.83756,2.66934,35.5562
21.42,8.28959,1.92939,2.70118,36.8521
21.44,8.37989,2.02167,2.73341,38.1706
21.46,8.47055,2.11409,2.76602,39.5124
21.48,8.56158,2.20676,2.79902,40.8782
21.5,8.65295,2.29952,2.83241,42.2689
21.52,8.74467,2.39242,2.8662,43.6853
21.54,8.83672,2.48544,2.90038,45.1281
21.56,8.9291,2.57865,2.93497,46.5981
21.58,9.02179,2.67224,2.96995,48.0958
21.6,7.9503,2.78607,2.66934,34.526
21.62,8.04049,2.84888,2.70118,35.8123
21.64,8.13095,2.9123,2.73341,37.1213
21.66,8.22167,2.97634,2.76602,38.4537
21.68,8.31264,3.04097,2.79902,39.8101
21.7,8.40385,3.10619,2.83241,41.1913
21.72,8.4953,3.17175,2.8662,42.5987
21.74,8.58698,3.23771,2.90038,44.0328
21.76,8.67887,3.30411,2.93497,45.4942
21.78,8.77097,3.37095,2.96995,46.9836
21.8,7.13486,2.0253,2.66934,34.2445
21.82,7.21559,2.08192,2.70118,35.6639
21.84,7.29656,2.13846,2.73341,37.1256
21.86,7.37774,2.19516,2.76602,38.6313
21.88,7.45912,2.25181,2.79902,40.182
21.9,7.54071,2.30851,2.83241,41.7789
21.92,7.62248,2.36534,2.8662,43.4233
21.94,7.70444,2.4222,2.90038,45.1162
21.96,7.78656,2.4792,2.93497,46.8592
21.98,7.86884,2.53613,2.96995,48.653
22,7.02631,2.79861,2.66934,34.887
22.02,7.10494,2.85706,2.70118,36.3643
22.04,7.18366,2.91546,2.73341,37.8775
22.06,7.26247,2.97385,2.76602,39.4279
22.08,7.34136,3.03216,2.79902,41.0163
22.1,7.4203,3.09052,2.83241,42.6438
22.12,7.49929,3.14859,2.8662,44.3106
22.14,7.57832,3.20671,2.90038,46.0187
22.16,7.65738,3.26468,2.93497,47.7688
22.18,7.73645,3.32253,2.96995,49.5617
22.2,7.2009,1.91459,2.66934,35.1993
22.22,7.27558,1.95196,2.70118,36.5813
22.24,7.35025,1.98981,2.73341,37.988
22.26,7.4249,2.02822,2.76602,39.4194
22.28,7.49951,2.06706,2.79902,40.877
22.3,7.57406,2.10626,2.83241,42.3616
22.32,7.64855,2.14577,2.8662,43.8742
22.34,7.72294,2.18558,2.90038,45.4155
22.36,7.79723,2.22575,2.93497,46.9857
22.38,7.87139,2.2662,2.96995,48.5859
22.4,7.27915,2.40257,2.66934,34.5782
22.42,7.34875,2.46002,2.70118,35.9224
22.44,7.41815,2.51771,2.7334,37.2894
22.46,7.48732,2.57557,2.76602,38.6801
22.48,7.55622,2.63346,2.79902,40.0955
22.5,7.62483,2.69141,2.83241,41.5361
22.52,7.69311,2.7495,2.8662,43.0026
22.54,7.76102,2.80762,2.90038,44.4956
22.56,7.82852,2.86571,2.93497,46.0161
22.58,7.89557,2.92378,2.96995,47.5645
22.6,6.44992,2.30542,2.66934,34.0817
22.62,6.50595,2.34337,2.70118,35.5827
22.64,6.56131,2.3821,2.7334,37.127
22.66,6.61594,2.42167,2.76602,38.7158
22.68,6.6698,2.46199,2.79902,40.3503
22.7,6.72284,2.50307,2.83241,42.0312
22.72,6.775,2.545,2.8662,43.7601
22.74,6.82626,2.58767,2.90038,45.5377
22.76,6.87655,2.63112,2.93497,47.3654
22.78,6.92584,2.67518,2.96995,49.2435
22.8,5.9554,3.66171,2.66934,34.9745
22.82,5.99417,3.73999,2.70118,36.5694
22.84,6.03166,3.81851,2.7334,38.2099
22.86,6.06784,3.89707,2.76602,39.8968
22.88,6.10266,3.9759,2.79902,41.6314
22.9,6.1361,4.05478,2.83241,43.4148
22.92,6.16815,4.13361,2.8662,45.2474
22.94,6.19877,4.21243,2.90038,47.1306
22.96,6.22794,4.29117,2.93497,49.0653
22.98,6.25565,4.36994,2.96995,51.0527
23,5.30991,3.34786,2.66934,35.8097
23.02,5.32719,3.39455,2.70118,37.3822
23.04,5.3429,3.44143,2.7334,38.9918
23.06,5.35704,3.48893,2.76602,40.6406
23.08,5.36958,3.53651,2.79902,42.3283
23.1,5.38051,3.58436,2.83241,44.0562
23.12,5.38985,3.63248,2.8662,45.8255
23.14,5.39761,3.68061,2.90038,47.6363
23.16,5.40378,3.72882,2.93497,49.4898
23.18,5.40835,3.77713,2.96995,51.3868
23.2,4.673,2.82362,2.66934,35.7971
23.22,4.66778,2.83953,2.70118,37.2794
23.24,4.66097,2.85566,2.7334,38.7909
23.26,4.65257,2.87214,2.76602,40.3327
23.28,4.64258,2.8886,2.79902,41.9048
23.3,4.63103,2.9053,2.83241,43.5086
23.32,4.61796,2.92223,2.8662,45.1449
23.34,4.60336,2.93943,2.90038,46.8147
