time,euler_pos,rk4_pos,exact_pos,euler_energy,rk4_energy
7.40000000,-1.93335696,-0.61517901,-0.61535248,36.43318204,1.99986911
7.50000000,-2.69437527,-0.75953450,-0.75968791,37.89050932,1.99986734
7.60000000,-3.37805931,-0.87361043,-0.87373698,39.40612969,1.99986557
7.70000000,-3.95396833,-0.95285910,-0.95295292,40.98237488,1.99986380
7.80000000,-4.39475499,-0.99412122,-0.99417763,42.62166988,1.99986203
7.90000000,-4.67738291,-0.99575189,-0.99576761,44.32653667,1.99986026
8.00000000,-4.78422063,-0.95768612,-0.95765948,46.09959814,1.99985849
8.10000000,-4.70396303,-0.88144149,-0.88137249,47.94358207,1.99985673
8.20000000,-4.43233661,-0.77005756,-0.76994796,49.86132535,1.99985496
8.30000000,-3.97255167,-0.62797479,-0.62782804,51.85577836,1.99985319
8.40000000,-3.33547326,-0.46085744,-0.46067859,53.93000950,1.99985142
8.50000000,-2.53949279,-0.27536779,-0.27516334,56.08720988,1.99984965
8.60000000,-1.61009339,-0.07890056,-0.07867819,58.33069827,1.99984788
8.70000000,-0.57911427,0.12071194,0.12094360,60.66392620,1.99984611
8.80000000,0.51626858,0.31551198,0.31574375,63.09048325,1.99984434
8.90000000,1.63481600,0.49773372,0.49795620,65.61410258,1.99984258
9.00000000,2.73271268,0.66011275,0.66031671,68.23866668,1.99984081
9.10000000,3.76521672,0.79617573,0.79635247,70.96821335,1.99983904
9.20000000,4.68841225,0.90049841,0.90064017,73.80694188,1.99983727
9.30000000,5.46099911,0.96892194,0.96902219,76.75921956,1.99983550
9.40000000,6.04604949,0.99871857,0.99877236,79.82958834,1.99983373
9.50000000,6.41265989,0.98870048,0.98870462,83.02277188,1.99983196
9.60000000,6.53742832,0.93926708,0.93922035,86.34368275,1.99983019
9.70000000,6.40569036,0.85238910,0.85229232,89.79743006,1.99982843
9.80000000,6.01245526,0.73153005,0.73138610,93.38932726,1.99982666
9.90000000,5.36299254,0.58150808,0.58132181,97.12490035,1.99982489
10.00000000,4.47303162,0.40830397,0.40808206,101.00989637,1.99982312
10.10000000,3.36855099,0.21882266,0.21857337,105.05029222,1.99982135
10.20000000,2.08514910,0.02061798,0.02035084,109.25230391,1.99981958
10.30000000,0.66700517,-0.17840848,-0.17868301,113.62239607,1.99981781
10.40000000,-0.83454473,-0.37032236,-0.37059333,118.16729191,1.99981604
10.50000000,-2.36277483,-0.54747289,-0.54772926,122.89398359,1.99981428
10.60000000,-3.85762314,-0.70279783,-0.70302896,127.80974293,1.99981251
10.70000000,-5.25796046,-0.83010504,-0.83030111,132.92213265,1.99981074
10.80000000,-6.50399285,-0.92431936,-0.92447177,138.23901795,1.99980897
10.90000000,-7.53970683,-0.98168487,-0.98178667,143.76857867,1.99980720
11.00000000,-8.31526109,-0.99991470,-0.99996083,149.51932182,1.99980543
11.10000000,-8.78922708,-0.97828214,-0.97826970,155.50009469,1.99980366
11.20000000,-8.93058262,-0.91764960,-0.91757805,161.72009848,1.99980189
11.30000000,-8.72036908,-0.82043431,-0.82030546,168.18890242,1.99980013
11.40000000,-8.15293224,-0.69051184,-0.69032988,174.91645852,1.99979836
11.50000000,-7.23668063,-0.53306170,-0.53283302,181.91311686,1.99979659
11.60000000,-5.99431174,-0.35436077,-0.35409379,189.18964153,1.99979482
11.70000000,-4.46247562,-0.16153313,-0.16123796,196.75722719,1.99979305
11.80000000,-2.69086702,0.03773398,0.03804591,204.62751628,1.99979128
11.90000000,-0.74075941,0.23549663,0.23581302,212.81261693,1.99978951
12.00000000,1.31698289,0.42387084,0.42417901,221.32512161,1.99978774
12.10000000,3.40435556,0.59534694,0.59563432,230.17812647,1.99978598
12.20000000,5.43904892,0.74308891,0.74334356,239.38525153,1.99978421
12.30000000,7.33756805,0.86120694,0.86141805,248.96066159,1.99978244
12.40000000,9.01852523,0.94499217,0.94515051,258.91908806,1.99978067
12.50000000,10.40597969,0.99110448,0.99120281,269.27585158,1.99977890
12.60000000,11.43269313,0.99770559,0.99773898,280.04688564,1.99977713
12.70000000,12.04316739,0.96453238,0.96449845,291.24876107,1.99977536
12.80000000,12.19633393,0.89290737,0.89280640,302.89871151,1.99977359
12.90000000,11.86777377,0.78568596,0.78552098,315.01465997,1.99977183
13.00000000,11.05136025,0.64714267,0.64691932,327.61524637,1.99977006
13.10000000,9.76023578,0.48280065,0.48252703,340.71985622,1.99976829
13.20000000,8.02705690,0.29921154,0.29889791,354.34865047,1.99976652
13.30000000,5.90346859,0.10369430,0.10335267,368.52259649,1.99976475
13.40000000,3.45879800,-0.09595662,-0.09631292,383.26350035,1.99976298
13.50000000,0.77798867,-0.29178198,-0.29213881,398.59404037,1.99976121
13.60000000,-2.04117258,-0.47597505,-0.47631805,414.53780198,1.99975945
13.70000000,-4.89145337,-0.64119284,-0.64150799,431.11931406,1.99975768
13.80000000,-7.66008727,-0.78084883,-0.78112303,448.36408662,1.99975591
13.90000000,-10.23306303,-0.88937555,-0.88959717,466.29865009,1.99975414
14.00000000,-12.49963529,-0.96244652,-0.96260587,484.95059609,1.99975237
14.10000000,-14.35688504,-0.99714874,-0.99723851,504.34861993,1.99975060
14.20000000,-15.71414938,-0.99209881,-0.99211440,524.52256473,1.99974883
14.30000000,-16.49713831,-0.94749810,-0.94743782,545.50346732,1.99974706
14.40000000,-16.65156127,-0.86512467,-0.86498988,567.32360601,1.99974530
14.50000000,-16.14609869,-0.74826244,-0.74805753,590.01655025,1.99974353
14.60000000,-14.97457367,-0.60157025,-0.60130248,613.61721227,1.99974176
14.70000000,-13.15720470,-0.43089612,-0.43057540,638.16190076,1.99973999
14.80000000,-10.74085278,-0.24304413,-0.24268264,663.68837679,1.99973822
14.90000000,-7.79821267,-0.04550316,-0.04511489,690.23591186,1.99973645
15.00000000,-4.42593845,0.15385165,0.15425145,717.84534833,1.99973468
15.10000000,-0.74173573,0.34707287,0.34746827,746.55916226,1.99973292
15.20000000,3.11950454,0.52645759,0.52683263,776.42152876,1.99973115
15.30000000,7.01041423,0.68485450,0.68519384,807.47838991,1.99972938
15.40000000,10.77654374,0.81594902,0.81623852,839.77752550,1.99972761
15.50000000,14.26225668,0.91451497,0.91474236,873.36862652,1.99972584
15.60000000,17.31690787,0.97662298,0.97677830,908.30337158,1.99972407
15.70000000,19.80106880,0.99979710,0.99987318,944.63550645,1.99972230
15.80000000,21.59255341,0.98311350,0.98310626,982.42092670,1.99972053
