idx,s,kappa,v_ref,K00,K01,K10,K12
125,45.7284,-0.0333467,8,7.74814,7.98402,0,3.06386
126,46.1054,-0.0333783,8,7.74814,7.98402,0,3.06386
127,46.4822,-0.0334733,8,7.74814,7.98402,0,3.06386
128,46.8586,-0.0336321,8,7.74814,7.98402,0,3.06386
129,47.2345,-0.0338554,8,7.74814,7.98402,0,3.06386
130,47.6097,-0.0341443,8,7.74814,7.98402,0,3.06386
131,47.984,-0.0345,8,7.74814,7.98402,0,3.06386
132,48.3572,-0.0349242,8,7.74814,7.98402,0,3.06386
133,48.7292,-0.0354189,8,7.74814,7.98402,0,3.06386
134,49.0998,-0.0359863,8,7.74814,7.98402,0,3.06386
135,49.4688,-0.036629,8,7.74814,7.98402,0,3.06386
136,49.8361,-0.0373499,8,7.74814,7.98402,0,3.06386
137,50.2015,-0.0381523,8,7.74814,7.98402,0,3.06386
138,50.5649,-0.0390399,8,7.74814,7.98402,0,3.06386
139,50.926,-0.0400165,8,7.74814,7.98402,0,3.06386
140,51.2848,-0.0410867,8,7.74814,7.98402,0,3.06386
141,51.6411,-0.0422551,8,7.74814,7.98402,0,3.06386
142,51.9947,-0.0435269,8,7.74814,7.98402,0,3.06386
143,52.3456,-0.0449075,8,7.74814,7.98402,0,3.06386
144,52.6936,-0.0464029,8,7.74814,7.98402,0,3.06386
145,53.0385,-0.0480192,8,7.74814,7.98402,0,3.06386
146,53.3803,-0.0497629,7.99696,7.7489,7.98426,0,3.06386
147,53.7189,-0.051641,7.98191,7.75262,7.98547,0,3.06386
148,54.0541,-0.0536605,7.93993,7.76303,7.98884,0,3.06386
149,54.3859,-0.0558285,7.85928,7.78305,7.99531,0,3.06386
150,54.7142,-0.0581525,7.73999,7.81277,8.00488,0,3.06386
151,55.0389,-0.0606395,7.594,7.84929,8.01657,0,3.06386
152,55.3599,-0.0632968,7.43616,7.88896,8.0292,0,3.06386
153,55.6772,-0.0661308,7.2756,7.92952,8.04202,0,3.06386
154,55.9907,-0.0691476,7.11564,7.97013,8.05478,0,3.06386
155,56.3005,-0.0723522,6.95681,8.01066,8.06743,0,3.06386
156,56.6064,-0.0757484,6.79961,8.05096,8.07993,0,3.06386
157,56.9086,-0.0793384,6.64454,8.09092,8.09224,0,3.06386
158,57.2069,-0.0831221,6.4921,8.13039,8.10433,0,3.06386
159,57.5015,-0.0870968,6.3428,8.16923,8.11616,0,3.06386
160,57.7923,-0.0912567,6.19712,8.2073,8.12768,0,3.06386
161,58.0795,-0.0955918,6.05554,8.24447,8.13886,0,3.06386
162,58.363,-0.100088,5.91854,8.2806,8.14966,0,3.06386
163,58.643,-0.104725,5.78658,8.31554,8.16006,0,3.06386
164,58.9195,-0.109479,5.66014,8.34915,8.17,0,3.06386
165,59.1928,-0.114316,5.53966,8.38131,8.17947,0,3.06386
166,59.4628,-0.119199,5.42558,8.41187,8.18842,0,3.06386
167,59.7299,-0.124081,5.31832,8.4407,8.19683,0,3.06386
168,59.9941,-0.128909,5.21832,8.46768,8.20467,0,3.06386
169,60.2557,-0.133623,5.12595,8.49266,8.21189,0,3.06386
170,60.5148,-0.138158,5.04162,8.51554,8.21849,0,3.06386
171,60.7717,-0.142444,4.96567,8.53619,8.22442,0,3.06386
172,61.0267,-0.146406,4.89846,8.55451,8.22967,0,3.06386
173,61.28,-0.14997,4.84031,8.5704,8.2342,0,3.06386
174,61.5319,-0.153064,4.7915,8.58375,8.23801,0,3.06386
175,61.7827,-0.15562,4.75232,8.59448,8.24106,0,3.06386
176,62.0327,-0.157577,4.72299,8.60252,8.24335,0,3.06386
177,62.2822,-0.158885,4.70373,8.60781,8.24485,0,3.06386
178,62.5316,-0.159507,4.69471,8.61029,8.24555,0,3.06386
179,62.7811,-0.159421,4.69609,8.60991,8.24544,0,3.06386
180,63.0312,-0.158621,4.70797,8.60665,8.24452,0,3.06386
181,63.2821,-0.157117,4.73044,8.60048,8.24277,0,3.06386
182,63.5343,-0.154938,4.76353,8.59141,8.24019,0,3.06386
183,63.788,-0.152123,4.80728,8.57943,8.23678,0,3.06386
184,64.0437,-0.148729,4.86167,8.56456,8.23254,0,3.06386
185,64.3016,-0.144819,4.92667,8.54682,8.22747,0,3.06386
186,64.5621,-0.140464,5.00219,8.52626,8.22157,0,3.06386
187,64.8254,-0.135742,5.08818,8.5029,8.21485,0,3.06386
188,65.092,-0.130728,5.18451,8.47681,8.20731,0,3.06386
189,65.3621,-0.125499,5.29107,8.44805,8.19897,0,3.06386
190,65.6359,-0.120127,5.40772,8.41667,8.18983,0,3.06386
191,65.9138,-0.114677,5.53433,8.38274,8.17989,0,3.06386
192,66.196,-0.109211,5.67074,8.34633,8.16917,0,3.06386
193,66.4827,-0.103781,5.8168,8.30752,8.15768,0,3.06386
194,66.7741,-0.0984321,5.97235,8.26639,8.14542,0,3.06386
195,67.0705,-0.0932014,6.13724,8.223,8.13241,0,3.06386
196,67.3721,-0.0881195,6.31133,8.17744,8.11865,0,3.06386
197,67.6789,-0.0832096,6.49447,8.12977,8.10415,0,3.06386
198,67.9912,-0.0784892,6.68652,8.08008,8.08891,0,3.06386
199,68.3091,-0.0739701,6.88737,8.02844,8.07295,0,3.06386
200,68.6326,-0.0696597,7.09689,7.9749,8.05627,0,3.06386
201,68.962,-0.0655613,7.31457,7.91966,8.03891,0,3.06386
202,69.2973,-0.0616749,7.53056,7.86521,8.02165,0,3.06386
203,69.6386,-0.0579981,7.72538,7.81642,8.00605,0,3.06386
204,69.986,-0.0545263,7.87096,7.78015,7.99437,0,3.06386
205,70.3394,-0.0512532,7.95697,7.7588,7.98747,0,3.06386
206,70.6989,-0.0481715,7.99142,7.75027,7.98471,0,3.06386
207,71.0646,-0.0452731,8,7.74814,7.98402,0,3.06386
208,71.4365,-0.0425492,8,7.74814,7.98402,0,3.06386
209,71.8145,-0.0399909,8,7.74814,7.98402,0,3.06386
210,72.1987,-0.037589,8,7.74814,7.98402,0,3.06386
211,72.5889,-0.0353345,8,7.74814,7.98402,0,3.06386
212,72.9853,-0.0332185,8,7.74814,7.98402,0,3.06386
213,73.3877,-0.0312324,8,7.74814,7.98402,0,3.06386
214,73.7961,-0.0293678,8,7.74814,7.98402,0,3.06386
215,74.2104,-0.0276167,8,7.74814,7.98402,0,3.06386
216,74.6306,-0.0259715,8,7.74814,7.98402,0,3.06386
217,75.0565,-0.0244251,8,7.74814,7.98402,0,3.06386
218,75.4881,-0.0229705,8,7.74814,7.98402,0,3.06386
219,75.9254,-0.0216015,8,7.74814,7.98402,0,3.06386
220,76.368,-0.0203118,8,7.74814,7.98402,0,3.06386
221,76.8161,-0.0190959,8,7.74814,7.98402,0,3.06386
222,77.2694,-0.0179485,8,7.74814,7.98402,0,3.06386
223,77.7279,-0.0168646,8,7.74814,7.98402,0,3.06386
224,78.1914,-0.0158396,8,7.74814,7.98402,0,3.06386
225,78.6597,-0.0148692,8,7.74814,7.98402,0,3.06386
226,79.1327,-0.0139493,8,7.74814,7.98402,0,3.06386
227,79.6104,-0.0130762,8,7.74814,7.98402,0,3.06386
228,80.0924,-0.0122463,8,7.74814,7.98402,0,3.06386
229,80.5787,-0.0114565,8,7.74814,7.98402,0,3.06386
230,81.0691,-0.0107035,8,7.74814,7.98402,0,3.06386
231,81.5635,-0.00998458,8,7.74814,7.98402,0,3.06386
232,82.0616,-0.00929704,8,7.74814,7.98402,0,3.06386
233,82.5633,-0.00863836,8,7.74814,7.98402,0,3.06386
234,83.0684,-0.00800618,8,7.74814,7.98402,0,3.06386
235,83.5768,-0.0073983,8,7.74814,7.98402,0,3.06386
236,84.0882,-0.00681264,8,7.74814,7.98402,0,3.06386
237,84.6024,-0.00624721,8,7.74814,7.98402,0,3.06386
238,85.1193,-0.00570018,8,7.74814,7.98402,0,3.06386
239,85.6387,-0.00516978,8,7.74814,7.98402,0,3.06386
240,86.1603,-0.00465434,8,7.74814,7.98402,0,3.06386
241,86.684,-0.00415225,8,7.74814,7.98402,0,3.06386
242,87.2096,-0.00366201,8,7.74814,7.98402,0,3.06386
243,87.7368,-0.00318214,8,7.74814,7.98402,0,3.06386
244,88.2656,-0.00271123,8,7.74814,7.98402,0,3.06386
245,88.7955,-0.00224792,8,7.74814,7.98402,0,3.06386
246,89.3265,-0.00179089,8,7.74814,7.98402,0,3.06386
247,89.8584,-0.00133884,8,7.74814,7.98402,0,3.06386
248,90.3909,-0.000890508,8,7.74814,7.98402,0,3.06386
249,90.9238,-0.000444639,8,7.74814,7.98402,0,3.06386
250,91.4569,0,8,7.74814,7.98402,0,3.06386
251,91.99,0.000444639,8,7.74814,7.98402,0,3.06386
252,92.5229,0.000890508,8,7.74814,7.98402,0,3.06386
253,93.0554,0.00133884,8,7.74814,7.98402,0,3.06386
254,93.5872,0.00179089,8,7.74814,7.98402,0,3.06386
255,94.1182,0.00224792,8,7.74814,7.98402,0,3.06386
256,94.6482,0.00271123,8,7.74814,7.98402,0,3.06386
257,95.1769,0.00318214,8,7.74814,7.98402,0,3.06386
258,95.7041,0.00366201,8,7.74814,7.98402,0,3.06386
259,96.2297,0.00415225,8,7.74814,7.98402,0,3.06386
260,96.7534,0.00465434,8,7.74814,7.98402,0,3.06386
261,97.275,0.00516978,8,7.74814,7.98402,0,3.06386
262,97.7944,0.00570018,8,7.74814,7.98402,0,3.06386
263,98.3113,0.00624721,8,7.74814,7.98402,0,3.06386
264,98.8256,0.00681264,8,7.74814,7.98402,0,3.06386
265,99.3369,0.0073983,8,7.74814,7.98402,0,3.06386
266,99.8453,0.00800618,8,7.74814,7.98402,0,3.06386
267,100.35,0.00863836,8,7.74814,7.98402,0,3.06386
268,100.852,0.00929704,8,7.74814,7.98402,0,3.06386
269,101.35,0.00998458,8,7.74814,7.98402,0,3.06386
270,101.845,0.0107035,8,7.74814,7.98402,0,3.06386
271,102.335,0.0114565,8,7.74814,7.98402,0,3.06386
272,102.821,0.0122463,8,7.74814,7.98402,0,3.06386
273,103.303,0.0130762,8,7.74814,7.98402,0,3.06386
274,103.781,0.0139493,8,7.74814,7.98402,0,3.06386
275,104.254,0.0148692,8,7.74814,7.98402,0,3.06386
276,104.722,0.0158396,8,7.74814,7.98402,0,3.06386
277,105.186,0.0168646,8,7.74814,7.98402,0,3.06386
278,105.644,0.0179485,8,7.74814,7.98402,0,3.06386
279,106.098,0.0190959,8,7.74814,7.98402,0,3.06386
280,106.546,0.0203118,8,7.74814,7.98402,0,3.06386
281,106.988,0.0216015,8,7.74814,7.98402,0,3.06386
282,107.426,0.0229705,8,7.74814,7.98402,0,3.06386
283,107.857,0.0244251,8,7.74814,7.98402,0,3.06386
284,108.283,0.0259715,8,7.74814,7.98402,0,3.06386
285,108.703,0.0276167,8,7.74814,7.98402,0,3.06386
286,109.118,0.0293678,8,7.74814,7.98402,0,3.06386
287,109.526,0.0312324,8,7.74814,7.98402,0,3.06386
288,109.928,0.0332185,8,7.74814,7.98402,0,3.06386
289,110.325,0.0353345,8,7.74814,7.98402,0,3.06386
290,110.715,0.037589,8,7.74814,7.98402,0,3.06386
291,111.099,0.0399909,8,7.74814,7.98402,0,3.06386
292,111.477,0.0425492,8,7.74814,7.98402,0,3.06386
293,111.849,0.0452731,8,7.74814,7.98402,0,3.06386
294,112.215,0.0481715,7.99142,7.75027,7.98471,0,3.06386
295,112.574,0.0512532,7.95697,7.7588,7.98747,0,3.06386
296,112.928,0.0545263,7.87096,7.78015,7.99437,0,3.06386
297,113.275,0.0579981,7.72538,7.81642,8.00605,0,3.06386
298,113.616,0.0616749,7.53056,7.86521,8.02165,0,3.06386
