idx,s,kappa,v_ref,K00,K01,K10,K12
444,158.231,0.0984321,5.97235,8.26639,8.14542,0,3.06386
445,158.527,0.0932014,6.13724,8.223,8.13241,0,3.06386
446,158.829,0.0881195,6.31133,8.17744,8.11865,0,3.06386
447,159.136,0.0832096,6.49447,8.12977,8.10415,0,3.06386
448,159.448,0.0784892,6.68652,8.08008,8.08891,0,3.06386
449,159.766,0.0739701,6.88737,8.02844,8.07295,0,3.06386
450,160.089,0.0696597,7.09689,7.9749,8.05627,0,3.06386
451,160.419,0.0655613,7.31457,7.91966,8.03891,0,3.06386
452,160.754,0.0616749,7.53056,7.86521,8.02165,0,3.06386
453,161.095,0.0579981,7.72538,7.81642,8.00605,0,3.06386
454,161.443,0.0545263,7.87096,7.78015,7.99437,0,3.06386
455,161.796,0.0512532,7.95697,7.7588,7.98747,0,3.06386
456,162.156,0.0481715,7.99142,7.75027,7.98471,0,3.06386
457,162.521,0.0452731,8,7.74814,7.98402,0,3.06386
458,162.893,0.0425492,8,7.74814,7.98402,0,3.06386
459,163.271,0.0399909,8,7.74814,7.98402,0,3.06386
460,163.656,0.037589,8,7.74814,7.98402,0,3.06386
461,164.046,0.0353345,8,7.74814,7.98402,0,3.06386
462,164.442,0.0332185,8,7.74814,7.98402,0,3.06386
463,164.845,0.0312324,8,7.74814,7.98402,0,3.06386
464,165.253,0.0293678,8,7.74814,7.98402,0,3.06386
465,165.667,0.0276167,8,7.74814,7.98402,0,3.06386
466,166.087,0.0259715,8,7.74814,7.98402,0,3.06386
467,166.513,0.0244251,8,7.74814,7.98402,0,3.06386
468,166.945,0.0229705,8,7.74814,7.98402,0,3.06386
469,167.382,0.0216015,8,7.74814,7.98402,0,3.06386
470,167.825,0.0203118,8,7.74814,7.98402,0,3.06386
471,168.273,0.0190959,8,7.74814,7.98402,0,3.06386
472,168.726,0.0179485,8,7.74814,7.98402,0,3.06386
473,169.185,0.0168646,8,7.74814,7.98402,0,3.06386
474,169.648,0.0158396,8,7.74814,7.98402,0,3.06386
475,170.117,0.0148692,8,7.74814,7.98402,0,3.06386
476,170.59,0.0139493,8,7.74814,7.98402,0,3.06386
477,171.067,0.0130762,8,7.74814,7.98402,0,3.06386
478,171.549,0.0122463,8,7.74814,7.98402,0,3.06386
479,172.036,0.0114565,8,7.74814,7.98402,0,3.06386
480,172.526,0.0107035,8,7.74814,7.98402,0,3.06386
481,173.02,0.00998458,8,7.74814,7.98402,0,3.06386
482,173.518,0.00929704,8,7.74814,7.98402,0,3.06386
483,174.02,0.00863836,8,7.74814,7.98402,0,3.06386
484,174.525,0.00800618,8,7.74814,7.98402,0,3.06386
485,175.034,0.0073983,8,7.74814,7.98402,0,3.06386
486,175.545,0.00681264,8,7.74814,7.98402,0,3.06386
487,176.059,0.00624721,8,7.74814,7.98402,0,3.06386
488,176.576,0.00570018,8,7.74814,7.98402,0,3.06386
489,177.096,0.00516978,8,7.74814,7.98402,0,3.06386
490,177.617,0.00465434,8,7.74814,7.98402,0,3.06386
491,178.141,0.00415225,8,7.74814,7.98402,0,3.06386
492,178.666,0.00366201,8,7.74814,7.98402,0,3.06386
493,179.194,0.00318214,8,7.74814,7.98402,0,3.06386
494,179.722,0.00271123,8,7.74814,7.98402,0,3.06386
495,180.252,0.00224792,8,7.74814,7.98402,0,3.06386
496,180.783,0.00179089,8,7.74814,7.98402,0,3.06386
497,181.315,0.00133884,8,7.74814,7.98402,0,3.06386
498,181.848,0.000779283,8,7.74814,7.98402,0,3.06386
499,182.381,0.000444815,8,7.74814,7.98402,0,3.06386
