t,x,y,v,steer_deg,accel
2.22,13.1949,11.8509,8,-4.65179,-0
2.24,13.3273,11.9407,8,-2.78102,-0
2.26,13.4601,12.03,8,-7.71356,-0
2.28,13.5933,12.1186,8,-4.86661,-0
2.3,13.7272,12.2063,8,-2.91905,-0
2.32,13.8613,12.2934,8,-8.03913,-0
2.34,13.996,12.3798,8,-5.09938,-0
2.36,14.1313,12.4652,8,-3.08424,-0
2.38,14.2669,12.5501,8,-8.47615,-0
2.4,14.4031,12.6342,8,-5.40405,-0
2.42,14.5398,12.7173,8,-3.29466,-0
2.44,14.6769,12.7997,8,-9.03522,-0
2.46,14.8145,12.8813,8,-5.77201,-0
2.48,14.9528,12.9618,8,-3.53188,-0
2.5,15.0915,13.0417,8,-9.70881,-0.00570903
2.52,15.2307,13.1206,7.99989,-6.18706,-0.00535919
2.54,15.3705,13.1983,7.99978,-3.77644,-0.0050308
2.56,15.5107,13.2753,7.99968,-10.4931,-0.0559344
2.58,15.6515,13.3513,7.99856,-6.63805,-0.0525069
2.6,15.793,13.4259,7.99751,-4.01466,-0.0492895
2.62,15.9348,13.4998,7.99652,-11.3915,-0.215372
2.64,16.0772,13.5726,7.99222,-7.12054,-0.202175
2.66,16.2202,13.6439,7.98817,-4.23916,-0.189786
2.68,16.3636,13.7143,7.98438,-12.4133,-0.551503
2.7,16.5074,13.7834,7.97335,-7.63655,-0.517708
2.72,16.6518,13.851,7.96299,-4.44891,-0.485985
2.74,16.7964,13.9175,7.95327,-13.5708,-1.04746
2.76,16.9413,13.9825,7.93232,-8.19427,-0.983279
2.78,17.0866,14.0458,7.91266,-15.2712,-1.67611
2.8,17.2321,14.107,7.87914,-9.31104,-1.57341
2.82,17.3779,14.1662,7.84767,-5.39128,-1.47699
2.84,17.5235,14.224,7.81813,-14.8049,-2.19563
2.86,17.669,14.28,7.77422,-8.98748,-2.06109
2.88,17.8143,14.334,7.73299,-5.15324,-1.93479
2.9,17.9593,14.3867,7.6943,-16.1528,-2.61407
