time,x,y,cte,heading_error_deg,steering_deg
0.000000,0.000000,0.000000,0.000000,0.000000,-0.148870
0.010000,0.099314,0.011695,-0.000005,-0.005514,-0.164493
0.020000,0.198629,0.023380,-0.000020,-0.009955,-0.156087
0.030000,0.297945,0.035054,-0.000042,-0.015736,-0.172858
0.040000,0.397262,0.046718,-0.000075,-0.018837,-0.164020
0.050000,0.496581,0.058371,-0.000114,-0.024912,-0.181969
0.060000,0.595901,0.070013,-0.000164,-0.026701,-0.172661
0.070000,0.695222,0.081644,-0.000216,-0.033095,-0.191812
0.080000,0.794545,0.093262,-0.000281,-0.033600,-0.181997
0.090000,0.893869,0.104869,-0.000345,-0.040341,-0.202372
0.100000,0.993195,0.116464,-0.000423,-0.039589,-0.192012
0.110000,1.092522,0.128046,-0.000499,-0.046701,-0.213629
0.120000,1.191850,0.139615,-0.000589,-0.044721,-0.202688
0.130000,1.291181,0.151170,-0.000674,-0.052228,-0.225563
0.140000,1.390512,0.162712,-0.000775,-0.049047,-0.214006
0.150000,1.489846,0.174240,-0.000867,-0.056974,-0.238149
0.160000,1.589181,0.185753,-0.000978,-0.052619,-0.225943
0.170000,1.688517,0.197251,-0.001077,-0.060987,-0.251365
0.180000,1.787856,0.208734,-0.001196,-0.055484,-0.238476
0.190000,1.887196,0.220201,-0.001300,-0.064317,-0.265183
0.200000,1.986538,0.231652,-0.001427,-0.057692,-0.251580
0.210000,2.085883,0.243086,-0.001536,-0.067010,-0.279575
0.220000,2.185229,0.254504,-0.001668,-0.059288,-0.265229
0.230000,2.284577,0.265904,-0.001780,-0.069111,-0.294514
0.240000,2.383927,0.277285,-0.001918,-0.060317,-0.279395
0.250000,2.483279,0.288649,-0.002032,-0.070665,-0.309970
0.260000,2.582634,0.299993,-0.002175,-0.060821,-0.294052
0.270000,2.681990,0.311319,-0.002290,-0.071712,-0.325915
0.280000,2.781349,0.322624,-0.002436,-0.060842,-0.309172
0.290000,2.880710,0.333909,-0.002553,-0.072293,-0.342317
0.300000,2.980074,0.345172,-0.002702,-0.060419,-0.324725
0.310000,3.079440,0.356415,-0.002818,-0.072446,-0.359146
0.320000,3.178809,0.367635,-0.002969,-0.059590,-0.340683
0.330000,3.278180,0.378834,-0.003084,-0.072208,-0.376374
0.340000,3.377553,0.390009,-0.003238,-0.058390,-0.357018
0.350000,3.476929,0.401160,-0.003351,-0.071613,-0.393968
0.360000,3.576308,0.412287,-0.003506,-0.056853,-0.373700
0.370000,3.675690,0.423390,-0.003617,-0.070694,-0.411901
0.380000,3.775075,0.434467,-0.003773,-0.055011,-0.390703
0.390000,3.874462,0.445519,-0.003882,-0.069482,-0.430142
0.400000,3.973853,0.456544,-0.004038,-0.052896,-0.407998
0.410000,4.073246,0.467543,-0.004143,-0.068007,-0.448662
0.420000,4.172642,0.478514,-0.004299,-0.050535,-0.425557
0.430000,4.272042,0.489456,-0.004401,-0.066296,-0.467432
0.440000,4.371444,0.500370,-0.004557,-0.047955,-0.443352
0.450000,4.470850,0.511255,-0.004655,-0.064376,-0.486425
0.460000,4.570259,0.522110,-0.004811,-0.045182,-0.461359
0.470000,4.669672,0.532935,-0.004905,-0.062270,-0.505614
0.480000,4.769088,0.543728,-0.005059,-0.042239,-0.479550
0.490000,4.868507,0.554490,-0.005148,-0.060001,-0.524971
0.500000,4.967930,0.565219,-0.005302,-0.039149,-0.497901
0.510000,5.067356,0.575916,-0.005386,-0.057590,-0.544471
0.520000,5.166786,0.586579,-0.005539,-0.035931,-0.516387
0.530000,5.266219,0.597208,-0.005618,-0.055057,-0.564088
0.540000,5.365656,0.607802,-0.005770,-0.032605,-0.534984
0.550000,5.465097,0.618361,-0.005844,-0.052420,-0.583799
0.560000,5.564542,0.628884,-0.005994,-0.029189,-0.553669
0.570000,5.663991,0.639371,-0.006062,-0.049696,-0.603580
0.580000,5.763443,0.649820,-0.006211,-0.025699,-0.572420
0.590000,5.862900,0.660231,-0.006274,-0.046900,-0.623408
0.600000,5.962360,0.670604,-0.006421,-0.022149,-0.591216
0.610000,6.061825,0.680938,-0.006479,-0.044047,-0.643262
0.620000,6.161294,0.691232,-0.006624,-0.018554,-0.610035
0.630000,6.260767,0.701486,-0.006676,-0.041149,-0.663120
0.640000,6.360244,0.711699,-0.006820,-0.014926,-0.628858
0.650000,6.459725,0.721871,-0.006866,-0.038218,-0.682963
0.660000,6.559211,0.732000,-0.007008,-0.011277,-0.647667
0.670000,6.658701,0.742087,-0.007049,-0.035266,-0.702772
0.680000,6.758195,0.752130,-0.007189,-0.007617,-0.666442
0.690000,6.857694,0.762129,-0.007224,-0.032302,-0.722527
0.700000,6.957197,0.772083,-0.007362,-0.003956,-0.685167
0.710000,7.056705,0.781992,-0.007392,-0.029334,-0.742212
0.720000,7.156218,0.791855,-0.007529,-0.000301,-0.703824
