s,x,y,kappa,v_ref
75,53.4782,39.396,-0.0120581,8
75.5,53.489,39.8922,0.00559716,8
76,53.4985,40.3888,0.0231122,8
76.5,53.5028,40.8872,0.0194387,8
77,53.5023,41.3872,0.00998804,8
77.5,53.4992,41.8882,0.000685968,8
78,53.496,42.3893,-0.00860055,8
78.5,53.4949,42.8898,-0.0180047,8
79,53.4984,43.3887,-0.0276548,8
79.5,53.5081,43.8856,-0.0141482,8
80,53.5212,44.3814,0.00639971,8
80.5,53.5328,44.8776,0.026777,8
81,53.5378,45.376,0.0463956,8
81.5,53.5312,45.8781,0.0646014,7.3606
82,53.508,46.3856,0.0806596,6.58728
82.5,53.4649,46.8996,0.0321525,7.40145
83,53.4129,47.4165,-0.0313297,7.1764
83.5,53.3696,47.9305,-0.0988181,5.95136
84,53.3529,48.436,-0.177724,4.43773
84.5,53.3803,48.9271,-0.271285,3.59187
85,53.4697,49.3981,-0.369386,3.07818
85.5,53.636,49.8441,-0.309992,3.36015
86,53.8706,50.2685,-0.203912,4.14298
86.5,54.1544,50.6782,-0.110931,5.61705
87,54.4677,51.0803,-0.0312365,6.59932
87.5,54.791,51.4817,0.0426317,6.51066
88,55.105,51.8896,0.119055,5.42201
88.5,55.39,52.3109,0.203746,4.14466
89,55.6277,52.7523,0.211062,4.0722
89.5,55.8172,53.2137,0.148161,4.86034
90,55.9726,53.6891,0.0841712,6.4484
90.5,56.1083,54.1728,0.021878,7.2766
91,56.2388,54.6585,-0.0397048,7.06004
91.5,56.3787,55.1404,-0.1025,5.84348
92,56.5423,55.6125,-0.143358,4.94109
92.5,56.7373,56.0715,-0.109318,5.65832
93,56.9575,56.5201,-0.0748411,6.83855
93.5,57.1951,56.9616,-0.0409423,7.91927
94,57.4423,57.399,-0.0076581,8
